"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"ZWE","Zimbabwe","AFG","Afghanistan","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2004,13
"ZWE","Zimbabwe","AFG","Afghanistan","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",2023,5
"ZWE","Zimbabwe","AGO","Angola","Cereals","Maize (corn)","Export value","1000 USD",1992,519
"ZWE","Zimbabwe","AGO","Angola","Cereals","Millet","Export value","1000 USD",1993,90
"ZWE","Zimbabwe","AGO","Angola","Cereals","Millet","Export value","1000 USD",1994,192
"ZWE","Zimbabwe","AGO","Angola","Cereals","Millet","Export value","1000 USD",1996,33
"ZWE","Zimbabwe","AGO","Angola","Cereals","Millet","Export value","1000 USD",1997,49
"ZWE","Zimbabwe","AGO","Angola","Cereals","Millet","Export value","1000 USD",1999,6
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1992,19
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1993,154
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1994,280
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1996,68
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1997,188
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",1998,30
"ZWE","Zimbabwe","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",2001,15
"ZWE","Zimbabwe","AGO","Angola","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2010,107
"ZWE","Zimbabwe","AGO","Angola","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2011,264
"ZWE","Zimbabwe","AGO","Angola","Fruits and nuts","Grapes","Export value","1000 USD",1999,1
"ZWE","Zimbabwe","AGO","Angola","Fruits and nuts","Hazelnuts, in shell","Export value","1000 USD",1995,50
"ZWE","Zimbabwe","AGO","Angola","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Export value","1000 USD",1994,152
"ZWE","Zimbabwe","AGO","Angola","Fruits and nuts","Pears","Export value","1000 USD",1998,1
"ZWE","Zimbabwe","AGO","Angola","Live animals","Chickens","Export value","1000 USD",1997,185
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",1992,37
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",1996,30
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",1998,6
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Sesame seed","Export value","1000 USD",1997,4
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Sesame seed","Export value","1000 USD",1998,3
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Soya beans","Export value","1000 USD",1992,11
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Sunflower seed","Export value","1000 USD",1995,2
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Sunflower seed","Export value","1000 USD",1996,16
"ZWE","Zimbabwe","AGO","Angola","Oilseeds and oleaginous fruits","Sunflower seed","Export value","1000 USD",1999,9
"ZWE","Zimbabwe","AGO","Angola","Other animal products","Hair, coarse nes","Import value","1000 USD",2017,1
"ZWE","Zimbabwe","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",1992,963
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1992,377
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1994,1303
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1995,1165
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1996,1867
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1997,3348
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1998,2376
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",1999,3988
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",2002,2897
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",2004,3449
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Export value","1000 USD",2010,3020
"ZWE","Zimbabwe","AGO","Angola","Other groups","Tobacco products","Import value","1000 USD",2010,3020
"ZWE","Zimbabwe","AGO","Angola","Other groups","Yarn and thread; woven and tufted textile fabrics","Import value","1000 USD",2017,1
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1992,78
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1994,1847
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1995,2458
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1996,435
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1997,404
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1999,129
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",1998,1
"ZWE","Zimbabwe","AGO","Angola","Pulses (dried leguminous vegetables)","Peas, dry","Export value","1000 USD",1994,431
