"ISO3","Item","Group","charted","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"AFG","Energy","Not agri-food","yes",1992,1649591,13574.400000000001,195417.69999999998,NA
"AFG","Energy","Not agri-food","yes",1993,1648808.0999999999,13627.1,191089.30000000002,NA
"AFG","Energy","Not agri-food","yes",1994,1626490.7,13648.099999999999,205426.4,NA
"AFG","Energy","Not agri-food","yes",1995,1641647.5,17305.399999999998,249921.5,NA
"AFG","Energy","Not agri-food","yes",1996,1626764.4,19156,280873.4,NA
"AFG","Energy","Not agri-food","yes",1997,1574805,19990.5,294096.8,NA
"AFG","Energy","Not agri-food","yes",1998,1562988.2,20240.5,307703.19999999995,NA
"AFG","Energy","Not agri-food","yes",1999,1390071.8,20940,321093,NA
"AFG","Energy","Not agri-food","yes",2000,1409390.5999999999,21621.7,347064.8,NA
"AFG","Energy","Not agri-food","yes",2001,1429886.7,21738.600000000002,341466.60000000003,NA
"AFG","Energy","Not agri-food","yes",2002,1738553.1,21689.800000000003,370713.5,NA
"AFG","Energy","Not agri-food","yes",2003,1934904.9,23271.7,357422.1,NA
"AFG","Energy","Not agri-food","yes",2004,1605116.5,23229.600000000002,353325.4,NA
"AFG","Energy","Not agri-food","yes",2005,2295386.7,25565.8,384777.10000000003,NA
"AFG","Energy","Not agri-food","yes",2006,2564100.9,28023.800000000003,383321.5,NA
"AFG","Energy","Not agri-food","yes",2007,3327335.0999999996,33743.1,500640.8,NA
"AFG","Energy","Not agri-food","yes",2008,4873157.6,53902,576766.4,NA
"AFG","Energy","Not agri-food","yes",2009,7096253.899999999,79746.7,626859,NA
"AFG","Energy","Not agri-food","yes",2010,9267052.2,99787.59999999999,793406.2000000001,NA
"AFG","Energy","Not agri-food","yes",2011,13150211.7,119972.9,1172499.8,NA
"AFG","Energy","Not agri-food","yes",2012,11209715.899999999,110328.2,1062849.6,NA
"AFG","Energy","Not agri-food","yes",2013,10457865.5,86491.1,1123196.6,NA
"AFG","Energy","Not agri-food","yes",2014,10458444.5,77571,1206831.7,NA
"AFG","Energy","Not agri-food","yes",2015,10992538.1,80835.9,1128603.1,NA
"AFG","Energy","Not agri-food","yes",2016,10392699.7,70254.3,1289348.6,NA
"AFG","Energy","Not agri-food","yes",2017,11471769.8,72556.2,1528159.7,NA
"AFG","Energy","Not agri-food","yes",2018,12535500.1,74999,1651074.1,NA
"AFG","Energy","Not agri-food","yes",2019,12672215.1,71714.9,1515493.2,NA
"AFG","Energy","Not agri-food","yes",2020,12662141.2,60336.3,755530.9,NA
"AFG","Energy","Not agri-food","yes",2021,12693891.4,62011.299999999996,1229541.0999999999,NA
"AFG","Energy","Not agri-food","yes",2022,13046451,62464.3,1208492.7,NA
"AFG","Energy","Not agri-food","yes",2030,NA,NA,NA,NA
"AFG","Energy","Not agri-food","yes",2050,NA,NA,NA,NA
"AFG","IPPU","Not agri-food","yes",1992,204487.1,1116.5,0,1754.5
"AFG","IPPU","Not agri-food","yes",1993,182566.5,1205.4,0,2831.9
"AFG","IPPU","Not agri-food","yes",1994,165690.9,1291.5,0,6663.299999999999
"AFG","IPPU","Not agri-food","yes",1995,160068.5,1365.5,0,11442.7
"AFG","IPPU","Not agri-food","yes",1996,156709.7,1423.2,0,17950.600000000002
"AFG","IPPU","Not agri-food","yes",1997,162207.9,1467.8,0,24772.8
"AFG","IPPU","Not agri-food","yes",1998,169461.19999999998,1506.3999999999999,0,33714.1
"AFG","IPPU","Not agri-food","yes",1999,183259,1549.5,0,49164.9
"AFG","IPPU","Not agri-food","yes",2000,222356,1604.6000000000001,0,89241.8
"AFG","IPPU","Not agri-food","yes",2001,241192.6,1674.3,0,122255.5
"AFG","IPPU","Not agri-food","yes",2002,276865.1,1755.2,0,153938.5
"AFG","IPPU","Not agri-food","yes",2003,311851.1,1841.8000000000002,0,190157.7
"AFG","IPPU","Not agri-food","yes",2004,348612.9,1926,0,226768.69999999998
"AFG","IPPU","Not agri-food","yes",2005,390812.4,2001.9999999999998,0,270851.1
"AFG","IPPU","Not agri-food","yes",2006,410293.60000000003,2067.7,0,285780
"AFG","IPPU","Not agri-food","yes",2007,415924.89999999997,2125.5,0,291898.3
"AFG","IPPU","Not agri-food","yes",2008,433561.2,2179.5,0,303551.69999999995
"AFG","IPPU","Not agri-food","yes",2009,453266.7,2236.3,0,313787.39999999997
"AFG","IPPU","Not agri-food","yes",2010,469574.7,2300,0,311941.6
"AFG","IPPU","Not agri-food","yes",2011,477578.7,2372.3,0,314094
"AFG","IPPU","Not agri-food","yes",2012,580887,2451.2999999999997,0,320281.1
"AFG","IPPU","Not agri-food","yes",2013,665011.4,2533.9,0,329182.5
"AFG","IPPU","Not agri-food","yes",2014,626011.4,2615.9,0,358812.7
"AFG","IPPU","Not agri-food","yes",2015,633706.3,2694,0,396512.7
"AFG","IPPU","Not agri-food","yes",2016,740344.5,2767.3999999999996,0,452375.60000000003
"AFG","IPPU","Not agri-food","yes",2017,758456,2837.2000000000003,0,507475.7
"AFG","IPPU","Not agri-food","yes",2018,850092.9,2904.5,0,574910.3
"AFG","IPPU","Not agri-food","yes",2019,892791.5,2971.2999999999997,0,634376.2000000001
"AFG","IPPU","Not agri-food","yes",2020,982344.3999999999,3038.8,0,695043.1
"AFG","IPPU","Not agri-food","yes",2021,1010662.9,3107.4,0,761807.3
"AFG","IPPU","Not agri-food","yes",2022,1078375.4,3176.6,0,823361.3
"AFG","IPPU","Not agri-food","yes",2030,NA,NA,NA,NA
"AFG","IPPU","Not agri-food","yes",2050,NA,NA,NA,NA
"AFG","Waste","Not agri-food","yes",1992,2011394.9,126794.2,1881320.7,NA
"AFG","Waste","Not agri-food","yes",1993,2169724.1,136371.3,2029932.9,NA
"AFG","Waste","Not agri-food","yes",1994,2317012.2,143335.5,2170116.7,NA
"AFG","Waste","Not agri-food","yes",1995,2453637.1,154292.6,2295644.6,NA
"AFG","Waste","Not agri-food","yes",1996,2562574.5,164189.9,2394594.7,NA
"AFG","Waste","Not agri-food","yes",1997,2649290.1,171930.9,2473469.2,NA
"AFG","Waste","Not agri-food","yes",1998,2716372.1999999997,170289.5,2542102.8000000003,NA
"AFG","Waste","Not agri-food","yes",1999,2788083.7,168768.2,2615405.5,NA
"AFG","Waste","Not agri-food","yes",2000,2885376.6,172746.1,2708440.5,NA
"AFG","Waste","Not agri-food","yes",2001,3009632.0999999996,180249.1,2825123,NA
"AFG","Waste","Not agri-food","yes",2002,3160242,191534.69999999998,2964377.4,NA
"AFG","Waste","Not agri-food","yes",2003,3328429,208319.19999999998,3115709.8000000003,NA
"AFG","Waste","Not agri-food","yes",2004,3482473,217839.69999999998,3260073.3,NA
"AFG","Waste","Not agri-food","yes",2005,3631474.6,224758.90000000002,3402085.7,NA
"AFG","Waste","Not agri-food","yes",2006,3757379.3000000003,233866.80000000002,3518552.5,NA
"AFG","Waste","Not agri-food","yes",2007,3886688.4,244851.30000000002,3636517.1,NA
"AFG","Waste","Not agri-food","yes",2008,3998209,257015.6,3735523.4,NA
"AFG","Waste","Not agri-food","yes",2009,4146450.4,268856.5,3871553.8000000003,NA
"AFG","Waste","Not agri-food","yes",2010,4297673.1,279416.9,4011846.2,NA
"AFG","Waste","Not agri-food","yes",2011,4437124.8,288200.10000000003,4142424.6999999997,NA
"AFG","Waste","Not agri-food","yes",2012,4606601.5,294194.5,4305847,NA
"AFG","Waste","Not agri-food","yes",2013,4782458.6,307826,4468042.6,NA
"AFG","Waste","Not agri-food","yes",2014,4941755.600000001,319425.7,4615749.899999999,NA
"AFG","Waste","Not agri-food","yes",2015,5090665.399999999,330660,4753475.4,NA
"AFG","Waste","Not agri-food","yes",2016,5231357.600000001,337933.3,4887204.300000001,NA
"AFG","Waste","Not agri-food","yes",2017,5369027.100000001,344673.9,5018103.199999999,NA
"AFG","Waste","Not agri-food","yes",2018,5496598.100000001,351027.4,5139448.7,NA
"AFG","Waste","Not agri-food","yes",2019,5623418.1,355982,5261418.1,NA
"AFG","Waste","Not agri-food","yes",2020,5758408.8,360256.19999999995,5392238.6,NA
"AFG","Waste","Not agri-food","yes",2021,5891138.8,366175.4,5519153.4,NA
"AFG","Waste","Not agri-food","yes",2022,6025627,372191.89999999997,5647729.1,NA
"AFG","Waste","Not agri-food","yes",2030,NA,NA,NA,NA
"AFG","Waste","Not agri-food","yes",2050,NA,NA,NA,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1992,8779459,2431481,6347978,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1993,8858178.200000001,2460419,6397759.2,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1994,8940407.9,2305155.5,6635252.4,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1995,9399635.5,2404689.5,6994946,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1996,10496767.200000001,2613006,7883761.2,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1997,11518913.3,2883332.5,8635580.799999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1998,12347088.4,3141310,9205778.399999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",1999,13448644.899999999,3382062.5,10066582.399999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2000,11548889.6,2911290,8637599.6,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2001,9736803.799999999,2544371,7192432.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2002,12143660.1,2966542.5,9177117.6,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2003,12507938.1,3075404.5,9432533.600000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2004,12390220.9,3047102.5,9343118.399999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2005,12695491.799999999,3179311,9516180.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2006,12716875.200000001,3026512,9690363.2,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2007,12808540.8,2956234,9852306.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2008,14174739.2,3198126,10976613.2,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2009,14627898.8,3435778,11192120.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2010,16695550.8,3799994,12895556.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2011,16802265.200000003,3885112,12917153.200000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2012,16664097.3,3919376.5,12744720.799999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2013,16597006.799999999,3958252,12638754.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2014,17082612.8,4229294,12853318.799999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2015,16324108.200000001,4189596.9999999995,12134511.200000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2016,16060107.200000001,4168874,11891233.200000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2017,15900194.5,4355248.5,11544946,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2018,15985137.8,4205073,11780064.8,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2019,15869519.700000001,3972588.5,11896931.200000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2020,16004862.4,3933872,12070990.4,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2021,15886558.7,3781629.5,12104929.200000001,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2022,16003340.399999999,3754732,12248608.399999999,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2030,NA,NA,NA,NA
"AFG","IPCC Agriculture","FAO aggregates","yes",2050,NA,NA,NA,NA
"AFG","LULUCF","FAO aggregates","yes",1992,-2388742.9000000004,26.5,33.6,NA
"AFG","LULUCF","FAO aggregates","yes",1993,-2388742.9000000004,26.5,33.6,NA
"AFG","LULUCF","FAO aggregates","yes",1994,-2388742.9000000004,26.5,33.6,NA
"AFG","LULUCF","FAO aggregates","yes",1995,-2388742.9000000004,26.5,33.6,NA
"AFG","LULUCF","FAO aggregates","yes",1996,-2388591.9,79.5,131.6,NA
"AFG","LULUCF","FAO aggregates","yes",1997,-2388671.6,53,78.39999999999999,NA
"AFG","LULUCF","FAO aggregates","yes",1998,-2388484.1999999997,106,212.79999999999998,NA
"AFG","LULUCF","FAO aggregates","yes",1999,-2388717.7,26.5,58.8,NA
"AFG","LULUCF","FAO aggregates","yes",2000,-2388096.9,238.5,467.6,NA
"AFG","LULUCF","FAO aggregates","yes",2001,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2002,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2003,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2004,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2005,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2006,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2007,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2008,121901.6,0,0,NA
"AFG","LULUCF","FAO aggregates","yes",2009,121901.6,0,0,NA
