"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"AFG","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2017,0.561931,0.64047
"AFG","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2018,1.7849140000000001,1.9525169999999998
"AFG","Asian Development Bank","ODA Grants","Energy",2017,2.2996659999999998,2.621085
"AFG","Asian Development Bank","ODA Grants","Energy",2018,0,0
"AFG","Asian Development Bank","ODA Grants","Other Multisector",2017,0.02367,0.026979
"AFG","Asian Development Bank","ODA Grants","Other Multisector",2018,0.084486,0.092419
"AFG","Asian Development Bank","ODA Grants","Transport & Storage",2017,0,0
"AFG","Asian Development Bank","ODA Grants","Transport & Storage",2018,0,0
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2010,0.02343,0.023592
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2012,5.142755,4.412108
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2013,4.667924,4.24148
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2015,2.914006,3.414854
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2016,1.372504,1.611072
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2018,0.004756,0.005244
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2019,0.388723,0.44565
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2020,0.9107980000000001,1.04184
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.797006,0.790261
"AFG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"AFG","Australia","ODA Grants","Banking & Financial Services",2010,0.00214,0.002155
"AFG","Australia","ODA Grants","Development Food Assistance",2010,0.007407,0.007458
"AFG","Australia","ODA Grants","Development Food Assistance",2018,4.587286,5.057985
"AFG","Australia","ODA Grants","Development Food Assistance",2019,2.580337,2.958219
"AFG","Australia","ODA Grants","Education",2010,0.006243,0.006286
"AFG","Australia","ODA Grants","Education",2020,1.400069,1.601506
"AFG","Australia","ODA Grants","Emergency Response",2010,3.94423,3.971379
"AFG","Australia","ODA Grants","Emergency Response",2016,10.332268,12.128217
"AFG","Australia","ODA Grants","Emergency Response",2017,14.56576,16.017312
"AFG","Australia","ODA Grants","Emergency Response",2018,4.26085,4.698054
"AFG","Australia","ODA Grants","Emergency Response",2019,3.814895,4.373574
"AFG","Australia","ODA Grants","Energy",2019,0.264038,0.302706
"AFG","Australia","ODA Grants","Energy",2020,0.004835,0.00553
"AFG","Australia","ODA Grants","General Budget Support",2020,1.769178,2.023721
"AFG","Australia","ODA Grants","General Environment Protection",2010,0.002103,0.002118
"AFG","Australia","ODA Grants","Government & Civil Society",2010,0.013197,0.013288
"AFG","Australia","ODA Grants","Government & Civil Society",2012,1.712479,1.469182
"AFG","Australia","ODA Grants","Government & Civil Society",2020,4.149295,4.74628
"AFG","Australia","ODA Grants","Health",2010,0.0061990000000000005,0.006242
"AFG","Australia","ODA Grants","Health",2018,8.332711,9.187726
"AFG","Australia","ODA Grants","Health",2019,4.726911,5.419150999999999
"AFG","Australia","ODA Grants","Health",2020,0.394565,0.451333
"AFG","Australia","ODA Grants","Industry, Mining, Construction",2010,0.002406,0.002422
"AFG","Australia","ODA Grants","Other Multisector",2010,0.012875000000000001,0.012964
"AFG","Australia","ODA Grants","Other Multisector",2011,0.464342,0.396903
"AFG","Australia","ODA Grants","Other Multisector",2012,0.045677,0.039187
"AFG","Australia","ODA Grants","Other Multisector",2013,0.033414,0.030362
"AFG","Australia","ODA Grants","Other Multisector",2014,6.099540999999999,5.915584
"AFG","Australia","ODA Grants","Other Multisector",2015,4.095288999999999,4.799171
"AFG","Australia","ODA Grants","Other Multisector",2016,4.706935,5.525092
"AFG","Australia","ODA Grants","Other Multisector",2017,4.914315,5.404052
"AFG","Australia","ODA Grants","Other Multisector",2018,3.091266,3.4084600000000003
"AFG","Australia","ODA Grants","Other Multisector",2019,5.890715,6.753389
"AFG","Australia","ODA Grants","Other Multisector",2020,9.04482,10.346154
"AFG","Australia","ODA Grants","Other Social Infrastructure & Services",2010,0.005339,0.005376
"AFG","Australia","ODA Grants","Other Social Infrastructure & Services",2012,0.769717,0.660361
"AFG","Australia","ODA Grants","Population Policies/Programmes",2010,0.009566,0.009632
"AFG","Australia","ODA Grants","Reconstruction Relief & Rehabilitation",2021,9.765507,9.682879
"AFG","Australia","ODA Grants","Tourism",2010,2.3e-4,2.31e-4
"AFG","Australia","ODA Grants","Trade Policies & Regulations",2015,0.064761,0.075892
"AFG","Australia","ODA Grants","Unallocated / Unspecified",2010,0.001066,0.001074
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2010,0.009272,0.009335
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2012,0.108696,0.093253
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2013,0.079579,0.072309
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2018,0.149791,0.165161
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2019,0.196981,0.225828
"AFG","Australia","ODA Grants","Water Supply & Sanitation",2020,0.003607,0.004126
"AFG","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2010,1.986755,2.200482
"AFG","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2012,0.643293,0.702257
"AFG","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2013,0.663834,0.691809
"AFG","Belgium","ODA Grants","Emergency Response",2016,2.211655,2.663253
