"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ARE","Austria","ODA Loans","Industry, Mining, Construction",1993,0,0
"ARE","Denmark","ODA Grants","Agriculture, Forestry, Fishing",1994,0,0
"ARE","Denmark","ODA Grants","Education",1994,0,0
"ARE","Denmark","ODA Grants","Health",1994,0,0
"ARE","Denmark","ODA Grants","Unallocated / Unspecified",1994,0,0
"ARE","France","ODA Grants","Education",1994,1.233227,1.7387059999999999
"ARE","France","ODA Grants","Emergency Response",1995,0.689635,0.864091
"ARE","France","ODA Grants","Other Multisector",1994,0.093118,0.131285
"ARE","France","ODA Grants","Other Multisector",1995,0.113977,0.14281
"ARE","France","ODA Grants","Other Social Infrastructure & Services",1994,0.257741,0.36338400000000004
"ARE","France","ODA Grants","Other Social Infrastructure & Services",1995,0.35827899999999996,0.448912
"ARE","Germany","ODA Loans","Transport & Storage",1992,0,0
"ARE","Germany","ODA Loans","Transport & Storage",1993,0,0
"ARE","Germany","ODA Loans","Transport & Storage",1994,0,0
"ARE","Islamic Development Bank","ODA Grants","Industry, Mining, Construction",1995,0,0
"ARE","Islamic Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",1994,0,0
"ARE","Islamic Development Bank","Other Official Flows (non Export Credit)","Water Supply & Sanitation",1994,0,0
"ARE","Japan","ODA Loans","Agriculture, Forestry, Fishing",1995,0,0
"ARE","Japan","ODA Loans","Unallocated / Unspecified",1992,0,0
"ARE","Japan","ODA Loans","Unallocated / Unspecified",1993,0,0
"ARE","Japan","ODA Loans","Unallocated / Unspecified",1994,0,0
