"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ARG","Adaptation Fund","ODA Grants","General Environment Protection",2023,1.225,1.225
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2012,0.584154,0.616242
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2013,2.322273,2.41731
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2016,3.576142,4.161784
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2018,1.584154,1.732906
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2019,1.244354,1.383995
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2020,1.399999,1.511044
"ARG","Adaptation Fund","ODA Grants","Other Multisector",2023,1.225,1.225
"ARG","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2019,0.7,0.778554
"ARG","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2020,1.399999,1.511044
"ARG","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.005701,0.005653
"ARG","Australia","ODA Grants","Education",2021,0.017147,0.017002
"ARG","Australia","ODA Grants","Education",2022,0.006202,0.006153
"ARG","Australia","ODA Grants","Education",2023,1.39e-4,1.39e-4
"ARG","Australia","ODA Grants","Energy",2022,0.008367,0.008301
"ARG","Australia","ODA Grants","Energy",2023,1.87e-4,1.87e-4
"ARG","Australia","ODA Grants","General Environment Protection",2022,0.004734,0.004697
"ARG","Australia","ODA Grants","General Environment Protection",2023,1.06e-4,1.06e-4
"ARG","Australia","ODA Grants","Health",2021,0.010912,0.010819
"ARG","Australia","ODA Grants","Health",2022,0.009458999999999999,0.009384
"ARG","Australia","ODA Grants","Health",2023,0.016133,0.016133
"ARG","Australia","ODA Grants","Other Multisector",2011,4.6e-4,3.93e-4
"ARG","Australia","ODA Grants","Other Multisector",2012,0.050001,0.042897
"ARG","Australia","ODA Grants","Other Multisector",2013,0.067849,0.061651
"ARG","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.007705,0.00764
"ARG","Australia","ODA Grants","Water Supply & Sanitation",2021,0.003073,0.003047
"ARG","Australia","ODA Grants","Water Supply & Sanitation",2022,0.012404,0.012306
"ARG","Australia","ODA Grants","Water Supply & Sanitation",2023,2.77e-4,2.77e-4
"ARG","Austria","ODA Grants","Agriculture, Forestry, Fishing",2009,0.023674,0.025337
"ARG","Austria","ODA Grants","Agriculture, Forestry, Fishing",2010,0.01457,0.016246
