"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"CMR","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2020,0,0
"CMR","Adaptation Fund","ODA Grants","Other Social Infrastructure & Services",2021,1.26,1.281853
"CMR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,0.004,0.004069
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2001,11.68626,18.620374
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2002,11.05849,17.05428
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2003,6.38599,8.763754
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2006,10.26186,12.276445
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2007,17.33479,19.308759
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2008,14.15219,15.060525
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2009,13.25807,14.625354
"CMR","African Development Bank","ODA Grants","Action Relating to Debt",2010,3.692377,4.031217
"CMR","African Development Bank","ODA Grants","Education",2021,0.076271,0.077594
"CMR","African Development Bank","ODA Grants","Education",2022,0.048284,0.050605
"CMR","African Development Bank","ODA Grants","Education",2023,0.115728,0.115728
"CMR","African Development Bank","ODA Grants","Energy",2019,0,0
"CMR","African Development Bank","ODA Grants","Energy",2020,0.006069,0.00655
"CMR","African Development Bank","ODA Grants","Energy",2021,0.040659,0.041364
"CMR","African Development Bank","ODA Grants","Other Multisector",2015,0,0
"CMR","African Development Bank","ODA Grants","Water Supply & Sanitation",2016,0,0
"CMR","African Development Bank","ODA Grants","Water Supply & Sanitation",2018,4.78e-4,5.22e-4
"CMR","African Development Bank","ODA Grants","Water Supply & Sanitation",2020,0.021117,0.022792
"CMR","African Development Bank","ODA Grants","Water Supply & Sanitation",2021,0.011071,0.011263
"CMR","African Development Bank","ODA Grants","Water Supply & Sanitation",2022,0.010739,0.011255
"CMR","African Development Bank","ODA Loans","Other Multisector",2018,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",1994,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2001,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2002,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2003,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2016,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2017,2.93537,3.345639
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2018,1.358124,1.485651
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2019,9.356422,10.406395
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2020,4.735543,5.111154
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2021,7.963172,8.101283
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2022,11.499539,12.052309000000001
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2023,68.200079,68.200079
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2015,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2015,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2016,0.3044,0.35425
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2017,0.29648,0.337918
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2018,0.771649,0.844106
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2019,5.266983,5.858041
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2020,2.726966,2.943262
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2021,6.506194,6.619035
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2022,4.034325,4.22825
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Communications",2023,0.097502,0.097502
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Education",2001,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Education",2002,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Education",2003,0,0
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Energy",2007,32.01824,35.664262
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Energy",2009,42.165824,46.514321
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Energy",2010,7.364396,8.040206
"CMR","African Development Bank","Other Official Flows (non Export Credit)","Energy",2011,31.345344,32.293347
