"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2004,93.08721999999999,118.26678
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2005,107.06282,132.255911
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2006,116.84439,139.78301000000002
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2007,115.55443,128.71299100000002
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2008,120.19536,127.909903
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2009,131.13663,144.660548
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2010,103.650404,113.162119
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2011,105.084669,108.262834
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2012,101.130399,106.68557
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2013,132.34823,137.764446
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2014,124.27654,129.361104
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2015,109.73921,126.41294300000001
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2016,146.43047,170.410477
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2017,95.05018000000001,108.335099
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2018,76.664697,83.86348100000001
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2019,90.411191,100.557084
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2020,51.087307,55.139415
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2021,21.309435,21.679018
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2022,11.348616,11.894132
"COD","African Development Bank","ODA Grants","Action Relating to Debt",2023,3.348348,3.348348
"COD","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2014,0,0
"COD","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2023,0,0
"COD","African Development Bank","ODA Grants","Banking & Financial Services",2011,0.056578,0.05829
"COD","African Development Bank","ODA Grants","Banking & Financial Services",2012,0.031097,0.032806
"COD","African Development Bank","ODA Grants","Banking & Financial Services",2013,0.004883,0.005083
"COD","African Development Bank","ODA Grants","Communications",2022,0,0
"COD","African Development Bank","ODA Grants","Emergency Response",2016,0,0
"COD","African Development Bank","ODA Grants","Emergency Response",2017,0,0
"COD","African Development Bank","ODA Grants","Health",2014,0,0
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2015,0,0
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2016,0.01173,0.013651
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2018,0.030661,0.03354
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2020,0.020491,0.022116
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2021,0.017809,0.018117
"COD","African Development Bank","ODA Grants","Water Supply & Sanitation",2023,0.020002,0.020002
"COD","African Development Bank","ODA Loans","Health",2018,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2002,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2012,0.268005,0.282727
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2019,7.530301,8.375348
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2020,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2021,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2022,7.792584,8.167165
"COD","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2023,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Energy",2002,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2002,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2011,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2014,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2015,47.4396,54.647554
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2016,12.72702,14.811245
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2017,0,0
"COD","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2018,0,0
