"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"COM","Adaptation Fund","ODA Grants","Other Multisector",2021,0.938638,0.954917
"COM","Adaptation Fund","ODA Grants","Other Multisector",2022,0.939975,0.985159
"COM","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2012,0,0
"COM","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2007,0,0
"COM","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2009,0,0
"COM","African Development Fund","ODA Grants","Action Relating to Debt",2012,30.001113,31.649098
"COM","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"COM","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2023,1.8011400000000002,1.8011400000000002
"COM","African Development Fund","ODA Grants","Banking & Financial Services",2009,0.354913,0.391514
"COM","African Development Fund","ODA Grants","Banking & Financial Services",2022,0.098981,0.103739
"COM","African Development Fund","ODA Grants","Business & Other Services",2016,0.13452,0.15655
"COM","African Development Fund","ODA Grants","Business & Other Services",2017,0.27111,0.309002
"COM","African Development Fund","ODA Grants","Business & Other Services",2018,0.006242,0.006828
"COM","African Development Fund","ODA Grants","Energy",2013,0,0
"COM","African Development Fund","ODA Grants","Energy",2014,1.024612,1.066533
"COM","African Development Fund","ODA Grants","Energy",2015,2.01742,2.323946
"COM","African Development Fund","ODA Grants","Energy",2016,0.57445,0.668524
"COM","African Development Fund","ODA Grants","Energy",2017,0.80726,0.920088
"COM","African Development Fund","ODA Grants","Energy",2018,1.756752,1.921711
"COM","African Development Fund","ODA Grants","Energy",2019,2.967126,3.3000950000000002
"COM","African Development Fund","ODA Grants","Energy",2020,3.260618,3.519241
"COM","African Development Fund","ODA Grants","Energy",2021,2.756914,2.804728
"COM","African Development Fund","ODA Grants","Energy",2022,1.21944,1.278056
"COM","African Development Fund","ODA Grants","Energy",2023,1.517121,1.517121
"COM","African Development Fund","ODA Grants","General Budget Support",2013,3.03919,3.163566
"COM","African Development Fund","ODA Grants","General Budget Support",2021,5.663077,5.761295
"COM","African Development Fund","ODA Grants","Government & Civil Society",2011,0,0
"COM","African Development Fund","ODA Grants","Government & Civil Society",2012,1.800316,1.8992090000000001
"COM","African Development Fund","ODA Grants","Government & Civil Society",2013,1.84039,1.915706
"COM","African Development Fund","ODA Grants","Government & Civil Society",2014,1.170211,1.218089
"COM","African Development Fund","ODA Grants","Government & Civil Society",2015,2.0276,2.3356719999999997
"COM","African Development Fund","ODA Grants","Government & Civil Society",2016,0.74512,0.867144
"COM","African Development Fund","ODA Grants","Government & Civil Society",2017,0.94143,1.073011
"COM","African Development Fund","ODA Grants","Government & Civil Society",2018,2.598668,2.842682
"COM","African Development Fund","ODA Grants","Government & Civil Society",2019,1.398088,1.554981
"COM","African Development Fund","ODA Grants","Government & Civil Society",2020,0.205672,0.221985
"COM","African Development Fund","ODA Grants","Government & Civil Society",2021,1.037208,1.055197
"COM","African Development Fund","ODA Grants","Government & Civil Society",2023,0.007529,0.007529
"COM","African Development Fund","ODA Grants","Other Multisector",2010,0.34013,0.371343
"COM","African Development Fund","ODA Grants","Other Multisector",2011,1.1890800000000001,1.225043
"COM","African Development Fund","ODA Grants","Other Multisector",2014,3.03284,3.156924
"COM","African Development Fund","ODA Grants","Other Multisector",2015,2.79343,3.217863
"COM","African Development Fund","ODA Grants","Other Multisector",2018,0.005923,0.00648
"COM","African Development Fund","ODA Grants","Other Multisector",2019,0.411466,0.457641
"COM","African Development Fund","ODA Grants","Other Multisector",2020,10.433458,11.261012
"COM","African Development Fund","ODA Grants","Other Multisector",2021,0.489328,0.497815
"COM","African Development Fund","ODA Grants","Other Multisector",2023,0.007478,0.007478
"COM","African Development Fund","ODA Grants","Transport & Storage",2017,0.60539,0.690004
"COM","African Development Fund","ODA Grants","Transport & Storage",2018,2.738351,2.995481
"COM","African Development Fund","ODA Grants","Transport & Storage",2019,6.685788,7.436064
"COM","African Development Fund","ODA Grants","Transport & Storage",2020,5.037915,5.437509
"COM","African Development Fund","ODA Grants","Transport & Storage",2021,1.250067,1.271747
"COM","African Development Fund","ODA Grants","Transport & Storage",2022,3.4376770000000003,3.602923
"COM","African Development Fund","ODA Grants","Transport & Storage",2023,4.839403,4.839403
