"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"GIN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,0.006154,0.006261
"GIN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.274558,0.287755
"GIN","Adaptation Fund","ODA Grants","Other Multisector",2021,0.005,0.005087
"GIN","Australia","ODA Grants","Education",2022,0.014667,0.014551
"GIN","Australia","ODA Grants","Education",2023,0.028172,0.028172
"GIN","Australia","ODA Grants","Health",2022,0.008179,0.008114
"GIN","Australia","ODA Grants","Health",2023,0.01571,0.01571
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2010,0.5466139999999999,0.605416
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2011,0.503152,0.518957
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2012,0.465725,0.508413
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2013,0.5514749999999999,0.5747150000000001
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2014,0.951071,0.983542
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2015,0.658187,0.805104
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2016,0.699356,0.842158
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2017,1.839739,2.130996
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2018,3.125371,3.3993659999999997
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2019,2.633566,2.96498
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2020,2.05139,2.233049
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2021,4.061618,4.146832
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2022,3.777411,4.059115
"GIN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2023,4.64786,4.64786
"GIN","Belgium","ODA Grants","Emergency Response",2015,1.109262,1.356865
"GIN","Belgium","ODA Grants","Energy",2001,0.211356,0.406005
"GIN","Belgium","ODA Grants","General Environment Protection",2021,0,0
"GIN","Belgium","ODA Grants","Government & Civil Society",2011,0.046275,0.047728
"GIN","Belgium","ODA Grants","Government & Civil Society",2012,0.043868,0.047888
"GIN","Belgium","ODA Grants","Government & Civil Society",2013,0.148428,0.15468300000000001
"GIN","Belgium","ODA Grants","Health",2002,0.122514,0.220032
"GIN","Belgium","ODA Grants","Health",2022,0.497623,0.534734
"GIN","Belgium","ODA Grants","Health",2023,0.475768,0.475768
"GIN","Belgium","ODA Grants","Other Multisector",2011,0.089623,0.092438
"GIN","Belgium","ODA Grants","Other Multisector",2012,0.082141,0.08967
"GIN","Belgium","ODA Grants","Other Multisector",2022,0.670878,0.72091
"GIN","Belgium","ODA Grants","Other Multisector",2023,1.042796,1.042796
"GIN","Belgium","ODA Grants","Other Social Infrastructure & Services",2022,0.564444,0.606538
"GIN","Belgium","ODA Grants","Other Social Infrastructure & Services",2023,0.690054,0.690054
"GIN","Belgium","ODA Grants","Water Supply & Sanitation",2016,0.156905,0.188943
"GIN","Belgium","ODA Grants","Water Supply & Sanitation",2017,0.428876,0.496774
"GIN","Belgium","ODA Grants","Water Supply & Sanitation",2018,2.067894,2.249183
"GIN","Belgium","ODA Grants","Water Supply & Sanitation",2019,0.795539,0.895651
"GIN","Belgium","ODA Grants","Water Supply & Sanitation",2020,7.4e-4,8.05e-4
"GIN","Belgium","ODA Loans","Water Supply & Sanitation",2008,1.157075,1.206218
"GIN","Belgium","ODA Loans","Water Supply & Sanitation",2018,1.874187,2.038494
"GIN","Belgium","ODA Loans","Water Supply & Sanitation",2019,2.159316,2.431048
"GIN","Belgium","ODA Loans","Water Supply & Sanitation",2020,0.207565,0.225946
"GIN","Canada","ODA Grants","Agriculture, Forestry, Fishing",2008,0.023581,0.025728
"GIN","Canada","ODA Grants","Agriculture, Forestry, Fishing",2009,0.022122,0.026218
"GIN","Canada","ODA Grants","Agriculture, Forestry, Fishing",2010,0.014006999999999999,0.014573999999999998
