"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"GTM","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"GTM","Adaptation Fund","ODA Grants","Other Multisector",2013,1.238046,1.288712
"GTM","Adaptation Fund","ODA Grants","Other Multisector",2018,0.467924,0.511862
"GTM","Australia","ODA Grants","Government & Civil Society",2022,0.008295,0.008229
"GTM","Australia","ODA Grants","Government & Civil Society",2023,1.86e-4,1.86e-4
"GTM","Australia","ODA Grants","Health",2021,0.01206,0.011958
"GTM","Australia","ODA Grants","Health",2023,0.011352,0.011352
"GTM","Australia","ODA Grants","Other Multisector",2012,0.050001,0.042897
"GTM","Australia","ODA Grants","Other Multisector",2013,0.067849,0.061651
"GTM","Australia","ODA Grants","Reconstruction Relief & Rehabilitation",2011,0.773834,0.661445
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2016,0.094032,0.111982
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2017,0.208261,0.240928
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2018,0.295918,0.321209
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2019,0.251127,0.283263
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2020,0.25335,0.27364
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2021,0.283566,0.289648
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2022,0.311867,0.34194599999999997
"GTM","Austria","ODA Grants","Agriculture, Forestry, Fishing",2023,0.064879,0.064879
"GTM","Austria","ODA Grants","Energy",2016,0.011058,0.013169
"GTM","Austria","ODA Grants","Energy",2017,0.016909,0.019561
"GTM","Austria","ODA Grants","Energy",2019,0.033583,0.037881
"GTM","Austria","ODA Grants","Industry, Mining, Construction",2020,0.022792,0.024617
"GTM","Austria","ODA Grants","Industry, Mining, Construction",2021,0.056315,0.057523
"GTM","Austria","ODA Grants","Industry, Mining, Construction",2022,0.045745999999999995,0.050157999999999994
"GTM","Austria","ODA Grants","Industry, Mining, Construction",2023,0.09353399999999999,0.09353399999999999
"GTM","Austria","ODA Grants","Other Multisector",2010,0.054014,0.060228
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1998,0,0
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1999,0.079236,0.133102
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2000,0.077446,0.147435
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2005,0.009943,0.012779
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2006,0.050520999999999996,0.06286800000000001
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2007,0.057671,0.064554
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2010,0.698256,0.773372
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2011,0.41349500000000006,0.42648400000000003
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2012,0.48189399999999993,0.5260640000000001
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2013,0.571881,0.595982
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2014,2.421122,2.503781
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2015,2.290593,2.8018840000000003
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2016,1.242003,1.495606
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2017,0.800875,0.9276669999999999
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2018,0.787589,0.856635
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2019,0.787577,0.886687
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2020,0.834954,0.908893
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2021,0.843446,0.861142
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2022,0.932764,1.002326
"GTM","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2023,0.894061,0.894061
"GTM","Belgium","ODA Grants","Disaster Prevention & Preparedness",2010,0.135105,0.149639
"GTM","Belgium","ODA Grants","Disaster Prevention & Preparedness",2011,0.098242,0.101328
"GTM","Belgium","ODA Grants","Disaster Prevention & Preparedness",2012,0.10109,0.110356
"GTM","Belgium","ODA Grants","Education",2008,0.06269,0.065353
"GTM","Belgium","ODA Grants","Energy",2011,0,0
"GTM","Belgium","ODA Grants","Government & Civil Society",2011,0.10195699999999999,0.10516099999999999
"GTM","Belgium","ODA Grants","Government & Civil Society",2012,0.084107,0.091816
"GTM","Belgium","ODA Grants","Government & Civil Society",2013,0.224009,0.23345000000000002
"GTM","Belgium","ODA Grants","Government & Civil Society",2014,0.08916,0.092204
"GTM","Belgium","ODA Grants","Government & Civil Society",2015,0.074811,0.09151
"GTM","Belgium","ODA Grants","Government & Civil Society",2016,0.06447,0.077634
"GTM","Belgium","ODA Grants","Government & Civil Society",2017,0.125852,0.145776
"GTM","Belgium","ODA Grants","Government & Civil Society",2018,0.132838,0.144484
"GTM","Belgium","ODA Grants","Government & Civil Society",2019,0.10634,0.119722
"GTM","Belgium","ODA Grants","Government & Civil Society",2022,0.587396,0.6312019999999999
"GTM","Belgium","ODA Grants","Government & Civil Society",2023,0.6189709999999999,0.6189709999999999
"GTM","Belgium","ODA Grants","Other Multisector",2010,0.055629,0.061614
"GTM","Belgium","ODA Grants","Other Multisector",2011,0.112616,0.116154
"GTM","Belgium","ODA Grants","Other Multisector",2012,0.104571,0.114156
"GTM","Belgium","ODA Grants","Other Social Infrastructure & Services",2022,0.218682,0.234991
"GTM","Belgium","ODA Grants","Other Social Infrastructure & Services",2023,0.301763,0.301763
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2010,1.297845,1.3504180000000001
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2011,2.1757150000000003,2.105232
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2012,3.1044829999999997,2.998062
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2013,2.371111,2.320475
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2015,0.882822,1.060824
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2016,1.33113,1.6466540000000003
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2017,1.257224,1.485017
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2018,0.230034,0.266891
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2019,0.43890799999999996,0.5134299999999999
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2020,0.666812,0.780025
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2021,1.2579120000000001,1.277346
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2022,0.947773,0.928367
"GTM","Canada","ODA Grants","Agriculture, Forestry, Fishing",2023,0.599158,0.599158
"GTM","Canada","ODA Grants","Business & Other Services",2019,0,0
"GTM","Canada","ODA Grants","Business & Other Services",2020,0.092179,0.107828
"GTM","Canada","ODA Grants","Communications",2010,0.001039,0.001081
"GTM","Canada","ODA Grants","Communications",2019,0,0
"GTM","Canada","ODA Grants","Communications",2020,0.002888,0.003378
"GTM","Canada","ODA Grants","Communications",2021,0.015265,0.015501
"GTM","Canada","ODA Grants","Communications",2022,0.022014,0.021564
"GTM","Canada","ODA Grants","Disaster Prevention & Preparedness",2019,0,0
"GTM","Canada","ODA Grants","Disaster Prevention & Preparedness",2020,0.003073,0.003594
"GTM","Canada","ODA Grants","Education",2014,0.076492,0.078742
"GTM","Canada","ODA Grants","Education",2015,0.069006,0.08292
"GTM","Canada","ODA Grants","Education",2016,0.101494,0.125551
"GTM","Canada","ODA Grants","Education",2017,0.043806,0.051741999999999996
"GTM","Canada","ODA Grants","Education",2018,0.027313,0.031689
"GTM","Canada","ODA Grants","Education",2019,0.09115799999999999,0.106636
"GTM","Canada","ODA Grants","Education",2020,0.07456,0.087219
"GTM","Canada","ODA Grants","Education",2021,0.217406,0.220765
"GTM","Canada","ODA Grants","Education",2022,0.160682,0.157394
"GTM","Canada","ODA Grants","Education",2023,0.132157,0.132157
"GTM","Canada","ODA Grants","Energy",2018,0,0
"GTM","Canada","ODA Grants","Energy",2019,0.018839,0.022038
"GTM","Canada","ODA Grants","Energy",2020,0.01864,0.021805
"GTM","Canada","ODA Grants","Energy",2021,0.054351,0.055191
"GTM","Canada","ODA Grants","Energy",2022,0.040171,0.039348
