"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"GUY","Australia","ODA Grants","General Environment Protection",2010,0.002538,0.002555
"GUY","Australia","ODA Grants","General Environment Protection",2011,0.481497,0.411566
"GUY","Australia","ODA Grants","General Environment Protection",2013,0.025723,0.023373
"GUY","Australia","ODA Grants","Water Supply & Sanitation",2021,0.01206,0.011958
"GUY","Australia","ODA Grants","Water Supply & Sanitation",2022,0.010557,0.010473
"GUY","Australia","ODA Grants","Water Supply & Sanitation",2023,0.022095,0.022095
"GUY","Belgium","ODA Grants","Education",2010,0.083936,0.092965
"GUY","Belgium","ODA Grants","Education",2011,0.081545,0.084107
"GUY","Belgium","ODA Grants","Education",2012,0.02079,0.022696
"GUY","Belgium","ODA Grants","Education",2017,0,0
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2011,1.091902,1.056529
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2012,0.118705,0.114636
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2013,0.13984300000000002,0.13685699999999998
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2014,0.100534,0.103493
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2019,0.19040300000000002,0.222731
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2020,0.030841,0.036076
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2021,0.414962,0.421375
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2022,0.247139,0.242079
"GUY","Canada","ODA Grants","Agriculture, Forestry, Fishing",2023,0.949708,0.949708
"GUY","Canada","ODA Grants","Banking & Financial Services",2002,0,0
"GUY","Canada","ODA Grants","Banking & Financial Services",2003,0.070709,0.117855
"GUY","Canada","ODA Grants","Banking & Financial Services",2004,0.017677,0.026516
"GUY","Canada","ODA Grants","Banking & Financial Services",2005,0.050342,0.068198
"GUY","Canada","ODA Grants","Banking & Financial Services",2006,0.079344,0.098098
"GUY","Canada","ODA Grants","Banking & Financial Services",2007,0.034441,0.039041
"GUY","Canada","ODA Grants","Banking & Financial Services",2008,0.038129,0.0416
"GUY","Canada","ODA Grants","Banking & Financial Services",2013,0.001406,0.001375
"GUY","Canada","ODA Grants","Banking & Financial Services",2019,0,0
"GUY","Canada","ODA Grants","Banking & Financial Services",2020,0.004864,0.005689
"GUY","Canada","ODA Grants","Business & Other Services",2019,0,0
"GUY","Canada","ODA Grants","Business & Other Services",2020,0.026732,0.03127
"GUY","Canada","ODA Grants","Disaster Prevention & Preparedness",2023,0.793123,0.793123
"GUY","Canada","ODA Grants","Education",2013,0.009058,0.008864
"GUY","Canada","ODA Grants","Education",2019,0.184999,0.216409
"GUY","Canada","ODA Grants","Education",2020,0.210759,0.246541
"GUY","Canada","ODA Grants","Education",2021,1.6771980000000002,1.703116
"GUY","Canada","ODA Grants","Education",2022,0.40888800000000003,0.40051400000000004
"GUY","Canada","ODA Grants","Education",2023,0.701475,0.701475
"GUY","Canada","ODA Grants","Energy",2023,0,0
"GUY","Canada","ODA Grants","General Environment Protection",2019,0,0
"GUY","Canada","ODA Grants","General Environment Protection",2020,0.131597,0.15394000000000002
"GUY","Canada","ODA Grants","General Environment Protection",2021,0.212139,0.215417
"GUY","Canada","ODA Grants","General Environment Protection",2022,0.124191,0.12164900000000001
"GUY","Canada","ODA Grants","General Environment Protection",2023,1.548139,1.548139
"GUY","Canada","ODA Grants","Government & Civil Society",2013,0.019677,0.019257
"GUY","Canada","ODA Grants","Government & Civil Society",2018,0,0
"GUY","Canada","ODA Grants","Government & Civil Society",2019,0,0
"GUY","Canada","ODA Grants","Government & Civil Society",2020,0.005756,0.006732
"GUY","Canada","ODA Grants","Government & Civil Society",2021,0.007735,0.007855
"GUY","Canada","ODA Grants","Government & Civil Society",2022,0.037867,0.037089
"GUY","Canada","ODA Grants","Government & Civil Society",2023,0.042845,0.042845
"GUY","Canada","ODA Grants","Health",2012,0.039572,0.038215
"GUY","Canada","ODA Grants","Health",2013,0.046253,0.045265
"GUY","Canada","ODA Grants","Health",2014,0.033511,0.034498
"GUY","Canada","ODA Grants","Health",2019,0,0
"GUY","Canada","ODA Grants","Health",2020,9.73e-4,0.001138
"GUY","Canada","ODA Grants","Health",2021,0.398884,0.405048
"GUY","Canada","ODA Grants","Health",2022,0.046096,0.045146
"GUY","Canada","ODA Grants","Health",2023,0.029642,0.029642
"GUY","Canada","ODA Grants","Industry, Mining, Construction",2019,0,0
"GUY","Canada","ODA Grants","Industry, Mining, Construction",2020,0.022066000000000002,0.025811
"GUY","Canada","ODA Grants","Industry, Mining, Construction",2021,0.031645,0.032134
"GUY","Canada","ODA Grants","Industry, Mining, Construction",2022,0.060626,0.059384
"GUY","Canada","ODA Grants","Other Multisector",2002,0.033758,0.065144
"GUY","Canada","ODA Grants","Other Multisector",2003,0.034998,0.058332
"GUY","Canada","ODA Grants","Other Multisector",2004,0.264392,0.396582
"GUY","Canada","ODA Grants","Other Multisector",2005,0.038788,0.052546
"GUY","Canada","ODA Grants","Other Multisector",2006,0.067883,0.083928
"GUY","Canada","ODA Grants","Other Multisector",2007,0.141487,0.160387
"GUY","Canada","ODA Grants","Other Multisector",2008,0.071608,0.078126
"GUY","Canada","ODA Grants","Other Multisector",2019,0,0
"GUY","Canada","ODA Grants","Other Multisector",2020,0.09087200000000001,0.106299
"GUY","Canada","ODA Grants","Other Multisector",2023,0.451968,0.451968
"GUY","Canada","ODA Grants","Other Social Infrastructure & Services",2019,0,0
"GUY","Canada","ODA Grants","Other Social Infrastructure & Services",2020,0.00381,0.004457
"GUY","Canada","ODA Grants","Other Social Infrastructure & Services",2021,0.005837,0.005927
"GUY","Canada","ODA Grants","Other Social Infrastructure & Services",2022,0.011181,0.010953
"GUY","Canada","ODA Grants","Other Social Infrastructure & Services",2023,0.49133,0.49133
"GUY","Canada","ODA Grants","Population Policies/Programmes",2023,0.008177,0.008177
"GUY","Canada","ODA Grants","Tourism",2019,0,0
"GUY","Canada","ODA Grants","Tourism",2020,0.008635,0.010101
"GUY","Canada","ODA Grants","Tourism",2021,0.015611,0.015853
"GUY","Canada","ODA Grants","Tourism",2022,0.029908999999999998,0.029294999999999998
"GUY","Canada","ODA Grants","Unallocated / Unspecified",2019,0,0
"GUY","Canada","ODA Grants","Unallocated / Unspecified",2020,0.007065,0.008264
"GUY","Canada","ODA Grants","Unallocated / Unspecified",2021,0.006329,0.006427
"GUY","Canada","ODA Grants","Unallocated / Unspecified",2022,0.012127,0.011877
"GUY","Canada","ODA Grants","Water Supply & Sanitation",2021,0.199442,0.202524
"GUY","Canada","ODA Grants","Water Supply & Sanitation",2022,0.023048,0.022573
"GUY","Canada","ODA Grants","Water Supply & Sanitation",2023,0.014821,0.014821
"GUY","Caribbean Development Bank","ODA Grants","Transport & Storage",2020,0,0
"GUY","Caribbean Development Bank","ODA Loans","Transport & Storage",2020,0,0
"GUY","Caribbean Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2020,0,0
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2010,2.205298,2.330679
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2013,3.263582,3.319268
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2014,0.108889,0.10977
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2015,0.058713,0.069825
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2016,3.174444,3.75331
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2022,0.046672,0.050828
"GUY","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2023,0.249784,0.249784
"GUY","EU Institutions","ODA Grants","Communications",2016,9.07e-4,0.001072
"GUY","EU Institutions","ODA Grants","Disaster Prevention & Preparedness",2018,0.061844,0.066739
"GUY","EU Institutions","ODA Grants","Disaster Prevention & Preparedness",2019,0.193821,0.216882
"GUY","EU Institutions","ODA Grants","Energy",2011,0,0
"GUY","EU Institutions","ODA Grants","Energy",2014,9.954644,10.035209
"GUY","EU Institutions","ODA Grants","Energy",2015,0.012069,0.014353
"GUY","EU Institutions","ODA Grants","Energy",2018,12.670931,13.673904
"GUY","EU Institutions","ODA Grants","Energy",2020,1.269869,1.36994
