"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"HRV","Belgium","ODA Grants","Energy",2000,0.008224,0.015657
"HRV","EU Institutions","ODA Grants","General Environment Protection",2006,0.049611,0.058823
"HRV","EU Institutions","ODA Grants","General Environment Protection",2007,0.473256,0.502334
"HRV","EU Institutions","ODA Grants","General Environment Protection",2008,0.057922999999999995,0.057198
"HRV","EU Institutions","ODA Grants","Water Supply & Sanitation",2006,1.279143,1.516658
"HRV","Germany","ODA Grants","Energy",2009,0.278513,0.29721
"HRV","Germany","ODA Grants","Energy",2010,0.182917,0.203833
"HRV","Germany","ODA Grants","General Environment Protection",2005,0,0
"HRV","Germany","ODA Grants","General Environment Protection",2006,0.0494,0.061328
"HRV","Germany","ODA Grants","Water Supply & Sanitation",2003,0,0
"HRV","Germany","ODA Grants","Water Supply & Sanitation",2006,0.0364,0.045189
"HRV","Germany","ODA Loans","Energy",2008,0,0
"HRV","Germany","ODA Loans","Energy",2009,5.157849000000001,5.504112
"HRV","Germany","ODA Loans","Energy",2010,6.39812,7.129745
"HRV","Greece","ODA Grants","Energy",2009,0.139256,0.12005
"HRV","Greece","ODA Grants","General Environment Protection",2007,0.015811,0.014771
"HRV","Greece","ODA Grants","General Environment Protection",2008,0.015618,0.013307
"HRV","Greece","ODA Grants","General Environment Protection",2009,0.015109,0.013025
"HRV","Greece","ODA Grants","General Environment Protection",2010,0.014411,0.012909
"HRV","Greece","ODA Grants","Unallocated / Unspecified",2010,0.008278,0.007416
"HRV","Greece","ODA Grants","Water Supply & Sanitation",2006,0.007531,0.007932
"HRV","Greece","ODA Grants","Water Supply & Sanitation",2007,0.0077,0.007194
"HRV","Greece","ODA Grants","Water Supply & Sanitation",2008,0.008113,0.006913
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2003,0,0
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2004,0.101507,0.128964
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2005,0.063167,0.078032
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2006,0.482172,0.57683
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2007,0.55807,0.621619
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2008,3.664775,3.899992
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2009,0.650347,0.717416
"HRV","International Bank for Reconstruction and Development","Other Official Flows (non Export Credit)","Energy",2010,0.315986,0.344983
"HRV","Italy","ODA Grants","Education",2008,0,0
"HRV","Japan","ODA Grants","Energy",2003,0,0
"HRV","Japan","ODA Grants","Energy",2007,0.014448,0.012543
"HRV","Japan","ODA Grants","General Environment Protection",2003,0,0
"HRV","Japan","ODA Grants","General Environment Protection",2005,0.020727,0.016555
"HRV","Netherlands","ODA Grants","General Environment Protection",2001,0,0
"HRV","Norway","ODA Grants","Agriculture, Forestry, Fishing",2001,0,0
"HRV","Norway","ODA Grants","Energy",1998,0,0
"HRV","Norway","ODA Grants","Energy",2000,0,0
"HRV","Norway","ODA Grants","Energy",2005,0,0
"HRV","Norway","ODA Grants","Energy",2006,0.225728,0.251792
"HRV","Norway","ODA Grants","General Environment Protection",1999,0,0
"HRV","Norway","ODA Grants","General Environment Protection",2001,0,0
"HRV","Norway","ODA Grants","General Environment Protection",2003,0,0
"HRV","Norway","ODA Grants","General Environment Protection",2005,0,0
"HRV","Spain","ODA Grants","Water Supply & Sanitation",2009,0.367915,0.346277
"HRV","Spain","ODA Grants","Water Supply & Sanitation",2010,0.08245,0.08135
"HRV","United Kingdom","ODA Grants","General Environment Protection",2010,0.001933,0.002159
