"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"JOR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2015,1.865193,2.14859
"JOR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2018,2.841198,3.107985
"JOR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2020,2.549533,2.751755
"JOR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,1.280241,1.302445
"JOR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2022,1.970076,2.064775
"JOR","Arab Fund (AFESD)","ODA Grants","Agriculture, Forestry, Fishing",2018,0.062935,0.068844
"JOR","Arab Fund (AFESD)","ODA Grants","General Environment Protection",2017,0.095599,0.108961
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2018,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2019,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2020,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2021,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2022,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2023,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2017,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2018,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2019,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2020,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2021,0,0
"JOR","Arab Fund (AFESD)","ODA Loans","Other Multisector",2022,0,0
"JOR","Australia","ODA Grants","Business & Other Services",2022,9.86e-4,9.78e-4
"JOR","Australia","ODA Grants","Business & Other Services",2023,0.003762,0.003762
"JOR","Australia","ODA Grants","Communications",2023,0.01913,0.01913
"JOR","Australia","ODA Grants","Disaster Prevention & Preparedness",2020,0.431736,0.493853
"JOR","Australia","ODA Grants","Education",2019,0.027805,0.031877
"JOR","Australia","ODA Grants","Education",2022,0.0299,0.029664
"JOR","Australia","ODA Grants","Education",2023,0.031025,0.031025
"JOR","Australia","ODA Grants","Emergency Response",2017,0.147115,0.161775
"JOR","Australia","ODA Grants","Emergency Response",2019,0.13969700000000002,0.160155
"JOR","Australia","ODA Grants","General Environment Protection",2012,0.690131,0.592082
"JOR","Australia","ODA Grants","General Environment Protection",2013,0.291406,0.264784
"JOR","Australia","ODA Grants","Government & Civil Society",2012,0.009576,0.008215
"JOR","Australia","ODA Grants","Government & Civil Society",2019,0.05628,0.064522
"JOR","Australia","ODA Grants","Government & Civil Society",2021,0.035624,0.035322
"JOR","Australia","ODA Grants","Government & Civil Society",2022,0.021601000000000002,0.021428999999999997
"JOR","Australia","ODA Grants","Government & Civil Society",2023,0.008159,0.008159
"JOR","Australia","ODA Grants","Health",2019,0.05561,0.063754
"JOR","Australia","ODA Grants","Health",2022,0.012331,0.012234
"JOR","Australia","ODA Grants","Health",2023,0.018713999999999998,0.018713999999999998
"JOR","Australia","ODA Grants","Other Multisector",2022,0.002666,0.002645
"JOR","Australia","ODA Grants","Other Multisector",2023,0.004248,0.004248
"JOR","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.048792999999999996,0.048380000000000006
"JOR","Australia","ODA Grants","Other Social Infrastructure & Services",2022,0.025094,0.024896
"JOR","Australia","ODA Grants","Other Social Infrastructure & Services",2023,0.025782,0.025782
"JOR","Australia","ODA Grants","Population Policies/Programmes",2019,0.027805,0.031877
"JOR","Australia","ODA Grants","Water Supply & Sanitation",2019,0.027805,0.031877
"JOR","Australia","ODA Grants","Water Supply & Sanitation",2022,0.5201830000000001,0.51608
"JOR","Australia","ODA Grants","Water Supply & Sanitation",2023,0.498306,0.498306
"JOR","Belgium","ODA Grants","Emergency Response",2016,1.105828,1.331626
"JOR","Bloomberg Family Foundation","Private Development Finance","Other Multisector",2022,1,1.035984
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2015,0,0
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2016,0.237475,0.293765
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2017,0.773861,0.914074
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2018,0.173619,0.201434
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2019,0.067588,0.079063
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2020,0.005102,0.005969
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2021,0.003853,0.003912
"JOR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2023,0.44467500000000004,0.44467500000000004
"JOR","Canada","ODA Grants","Education",2015,0,0
"JOR","Canada","ODA Grants","Education",2016,1.6584279999999998,2.0515309999999998
"JOR","Canada","ODA Grants","Education",2017,4.582755,5.41309
"JOR","Canada","ODA Grants","Education",2018,1.8123869999999997,2.102747
