"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"KGZ","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.803662,0.842293
"KGZ","Adaptation Fund","ODA Grants","Other Multisector",2021,0.207508,0.211107
"KGZ","Adaptation Fund","ODA Grants","Other Multisector",2022,0.531967,0.557538
"KGZ","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2018,0,0
"KGZ","Asian Development Bank","ODA Grants","Energy",2017,9.336766,10.641742
"KGZ","Asian Development Bank","ODA Grants","Energy",2018,2.03599,2.227169
"KGZ","Asian Development Bank","ODA Grants","Other Multisector",2018,0,0
"KGZ","Asian Development Bank","ODA Grants","Transport & Storage",2017,6.271777,7.148366
"KGZ","Asian Development Bank","ODA Grants","Transport & Storage",2018,6.197,6.778896
"KGZ","Asian Development Bank","ODA Grants","Water Supply & Sanitation",2018,0,0
"KGZ","Asian Development Bank","ODA Loans","Agriculture, Forestry, Fishing",2018,0,0
"KGZ","Asian Development Bank","ODA Loans","Energy",2017,6.706196,7.643504
"KGZ","Asian Development Bank","ODA Loans","Energy",2018,3.77063,4.124691
"KGZ","Asian Development Bank","ODA Loans","Other Multisector",2017,0.055408,0.063152
"KGZ","Asian Development Bank","ODA Loans","Other Multisector",2018,0,0
"KGZ","Asian Development Bank","ODA Loans","Transport & Storage",2017,7.880435,8.981863
"KGZ","Asian Development Bank","ODA Loans","Transport & Storage",2018,7.536709999999999,8.244404
"KGZ","Asian Development Bank","ODA Loans","Water Supply & Sanitation",2017,0.771575,0.879416
"KGZ","Asian Development Bank","ODA Loans","Water Supply & Sanitation",2018,0,0
"KGZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.01126,0.011171
"KGZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,0.021628,0.021628
"KGZ","Australia","ODA Grants","Education",2021,0.027135,0.026905
"KGZ","Australia","ODA Grants","Health",2022,0.016639,0.016507
"KGZ","Australia","ODA Grants","Health",2023,0.017167,0.017167
"KGZ","Austria","ODA Grants","Agriculture, Forestry, Fishing",2013,0.088954,0.093648
"KGZ","Austria","ODA Grants","Agriculture, Forestry, Fishing",2015,0.095397,0.115295
"KGZ","Austria","ODA Grants","Agriculture, Forestry, Fishing",2016,0.051974,0.061895
"KGZ","Canada","ODA Grants","Agriculture, Forestry, Fishing",2015,0.016327,0.019619
"KGZ","Canada","ODA Grants","Agriculture, Forestry, Fishing",2016,0.011902,0.014723
"KGZ","Canada","ODA Grants","Agriculture, Forestry, Fishing",2017,0.006985,0.008251
"KGZ","Canada","ODA Grants","Agriculture, Forestry, Fishing",2018,1e-6,1e-6
"KGZ","Canada","ODA Grants","Banking & Financial Services",2015,0.016327,0.019619
"KGZ","Canada","ODA Grants","Banking & Financial Services",2016,0.011902,0.014723
"KGZ","Canada","ODA Grants","Banking & Financial Services",2017,0.006985,0.008251
"KGZ","Canada","ODA Grants","Banking & Financial Services",2018,1e-6,1e-6
"KGZ","Canada","ODA Grants","Education",2015,0.359208,0.431634
"KGZ","Canada","ODA Grants","Education",2016,0.26189,0.323967
"KGZ","Canada","ODA Grants","Education",2017,0.153676,0.181521
"KGZ","Canada","ODA Grants","Education",2018,2.1e-5,2.4e-5
"KGZ","Canada","ODA Grants","Education",2019,0.037229,0.043549
"KGZ","Canada","ODA Grants","Health",2015,0.35919900000000005,0.43162300000000003
"KGZ","Canada","ODA Grants","Health",2016,0.261898,0.323977
"KGZ","Canada","ODA Grants","Health",2017,0.153675,0.181521
"KGZ","Canada","ODA Grants","Health",2018,2.2e-5,2.5e-5
"KGZ","Canada","ODA Grants","Health",2019,0.037228,0.043547999999999996
"KGZ","Canada","ODA Grants","Industry, Mining, Construction",2015,0.008168,0.009815
"KGZ","Canada","ODA Grants","Industry, Mining, Construction",2016,0.005955,0.007366
"KGZ","Canada","ODA Grants","Industry, Mining, Construction",2017,0.003493,0.004125
"KGZ","Canada","ODA Grants","Industry, Mining, Construction",2018,0,1e-6
"KGZ","Canada","ODA Grants","Unallocated / Unspecified",2018,3e-6,4e-6
"KGZ","Canada","ODA Grants","Unallocated / Unspecified",2019,0.010153,0.011877
"KGZ","Canada","ODA Loans","Industry, Mining, Construction",2022,0.499347,0.489124
"KGZ","Czechia","ODA Grants","Energy",2015,0.050266,0.07842
"KGZ","Czechia","ODA Grants","Other Multisector",2014,0.022681,0.030237
"KGZ","Czechia","ODA Grants","Water Supply & Sanitation",2011,0.024894,0.029781
"KGZ","Czechia","ODA Grants","Water Supply & Sanitation",2018,0.016863,0.02191
"KGZ","Czechia","ODA Grants","Water Supply & Sanitation",2019,0.102207,0.134958
"KGZ","Denmark","ODA Grants","Disaster Prevention & Preparedness",2010,0.042879,0.042189
"KGZ","Denmark","ODA Grants","Education",2010,0.084941,0.083575
"KGZ","Denmark","ODA Grants","Government & Civil Society",2010,0.283842,0.279279
"KGZ","Denmark","ODA Grants","Health",2010,0.15319,0.150727
"KGZ","Denmark","ODA Grants","Other Social Infrastructure & Services",2010,0.052446,0.051603
"KGZ","Denmark","ODA Grants","Unallocated / Unspecified",2010,0.037837,0.037228
"KGZ","Denmark","ODA Grants","Water Supply & Sanitation",2011,0.050369,0.046952
"KGZ","Denmark","ODA Grants","Water Supply & Sanitation",2014,0.078132,0.073174
"KGZ","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2006,0.306421,0.363319
"KGZ","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2008,0.062316,0.061536
