"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"LBR","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2020,0,0
"LBR","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,1.798746,1.829943
"LBR","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.274558,0.287755
"LBR","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2019,0.022502,0.025027
"LBR","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2020,0.025666,0.027702
"LBR","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2021,0.056264,0.05724
"LBR","African Development Bank","ODA Grants","Banking & Financial Services",2011,0.067894,0.069947
"LBR","African Development Bank","ODA Grants","Banking & Financial Services",2015,0,0
"LBR","African Development Bank","ODA Grants","Banking & Financial Services",2016,0.04441,0.051683
"LBR","African Development Bank","ODA Grants","Banking & Financial Services",2017,0.02121,0.024174
"LBR","African Development Bank","ODA Grants","Banking & Financial Services",2018,6.88e-4,7.53e-4
"LBR","African Development Bank","ODA Grants","Business & Other Services",2021,0.040505,0.041207
"LBR","African Development Bank","ODA Grants","Emergency Response",2011,0,0
"LBR","African Development Bank","ODA Grants","Health",2014,0,0
"LBR","African Development Bank","ODA Grants","Industry, Mining, Construction",2016,0,0
"LBR","African Development Bank","ODA Grants","Industry, Mining, Construction",2018,0.017222,0.018839
"LBR","African Development Bank","ODA Grants","Industry, Mining, Construction",2019,0.026269,0.029217
"LBR","African Development Bank","ODA Grants","Industry, Mining, Construction",2020,0.010714,0.011564
"LBR","African Development Bank","ODA Grants","Unallocated / Unspecified",2017,0.01578,0.017986
"LBR","African Development Bank","ODA Grants","Water Supply & Sanitation",2013,0.049888,0.05193
"LBR","African Development Bank","ODA Grants","Water Supply & Sanitation",2015,0.03772,0.043451
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2014,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2013,0.20667,0.215128
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2014,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Other Multisector",2014,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2014,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2005,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2006,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2007,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2008,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2009,0,0
"LBR","African Development Bank","Other Official Flows (non Export Credit)","Water Supply & Sanitation",2014,0,0
"LBR","African Development Fund","ODA Grants","Action Relating to Debt",2010,17.757366,19.386911
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2009,0,0
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2010,0.677693,0.739884
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2011,1.932687,1.9911379999999999
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2012,2.758424,2.909947
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2013,4.3026,4.47868
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2014,3.280317,3.414526
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2015,2.32873,2.682557
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2016,2.4511399999999997,2.8525479999999996
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2017,0.33344,0.380044
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,0,0
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.047491,0.049773
"LBR","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2023,2.815191,2.815191
"LBR","African Development Fund","ODA Grants","Banking & Financial Services",2009,0.498131,0.549502
"LBR","African Development Fund","ODA Grants","Banking & Financial Services",2020,0,0
"LBR","African Development Fund","ODA Grants","Banking & Financial Services",2023,0,0
"LBR","African Development Fund","ODA Grants","Business & Other Services",2013,24.31354,25.308547
"LBR","African Development Fund","ODA Grants","Business & Other Services",2021,0.041357,0.042074
"LBR","African Development Fund","ODA Grants","Education",2012,0.176028,0.185697
"LBR","African Development Fund","ODA Grants","Education",2013,0.11103,0.115574
"LBR","African Development Fund","ODA Grants","Energy",2020,0,0
