"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"MAR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2015,2.907922,3.349751
"MAR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2019,1.809332,2.012374
"MAR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2020,0.530332,0.572397
"MAR","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2022,0.319318,0.334667
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2017,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2018,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2019,2.055921,2.286635
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2020,0.372306,0.401836
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2021,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2022,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2023,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2018,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2019,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2020,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2021,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2022,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Energy",2023,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2018,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2019,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2020,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2021,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2022,0,0
"MAR","Arab Fund (AFESD)","ODA Loans","Water Supply & Sanitation",2023,0,0
"MAR","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.009049,0.008977
"MAR","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,2.02e-4,2.02e-4
"MAR","Australia","ODA Grants","Education",2022,0.016231,0.016103
"MAR","Australia","ODA Grants","General Environment Protection",2012,0.690131,0.592082
"MAR","Australia","ODA Grants","General Environment Protection",2013,0.291406,0.264784
"MAR","Australia","ODA Grants","General Environment Protection",2021,0.006223,0.00617
"MAR","Australia","ODA Grants","Government & Civil Society",2022,0.001489,0.001478
"MAR","Australia","ODA Grants","Government & Civil Society",2023,0.002861,0.002861
"MAR","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.006529,0.006474
"MAR","Austria","ODA Grants","Other Multisector",2001,0.130164,0.249989
"MAR","Austria","ODA Grants","Other Multisector",2002,0.059372,0.107195
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1998,0,0
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1999,0.006603,0.011092
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2000,0.178422,0.339665
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2006,0.023033,0.028662
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2007,0.189388,0.211996
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2008,0.328648,0.342607
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2009,0,0
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2010,0.439751,0.48705699999999996
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2011,0.602587,0.6215160000000001
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2012,1.8265660000000001,1.993986
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2013,3.484661,3.6315090000000003
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2014,5.303578,5.48465
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2015,4.356025,5.328349
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2016,4.7893609999999995,5.7672989999999995
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2017,3.729951,4.320458
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2018,4.097456,4.456672
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2019,4.87391,5.4872510000000005
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2020,2.8848329999999995,3.140296
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2021,4.9607339999999995,5.064813
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2022,2.23222,2.3986899999999998
"MAR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2023,1.5667879999999998,1.5667879999999998
"MAR","Belgium","ODA Grants","Banking & Financial Services",2011,0.007646,0.007886
"MAR","Belgium","ODA Grants","Business & Other Services",2022,0.031549,0.033902
"MAR","Belgium","ODA Grants","Business & Other Services",2023,0.400087,0.400087
"MAR","Belgium","ODA Grants","Education",2017,1.167807,1.352689
"MAR","Belgium","ODA Grants","Education",2018,1.455725,1.583346
"MAR","Belgium","ODA Grants","Education",2019,1.44386,1.625558
"MAR","Belgium","ODA Grants","Education",2020,1.707328,1.858518
"MAR","Belgium","ODA Grants","Education",2021,1.546349,1.578792
"MAR","Belgium","ODA Grants","Energy",2011,0.024416,0.025183
"MAR","Belgium","ODA Grants","Energy",2012,0.005643,0.00616
"MAR","Belgium","ODA Grants","Energy",2022,0.288327,0.309829
"MAR","Belgium","ODA Grants","General Environment Protection",2010,0.057385,0.063559
"MAR","Belgium","ODA Grants","General Environment Protection",2016,0.067461,0.081236
"MAR","Belgium","ODA Grants","General Environment Protection",2017,0.047711,0.055264
"MAR","Belgium","ODA Grants","Government & Civil Society",2000,0.004569,0.008698
"MAR","Belgium","ODA Grants","Government & Civil Society",2013,0.305674,0.318556
"MAR","Belgium","ODA Grants","Government & Civil Society",2014,0.507657,0.524989
"MAR","Belgium","ODA Grants","Government & Civil Society",2015,0.456815,0.558782
"MAR","Belgium","ODA Grants","Government & Civil Society",2016,0.441305,0.531415
"MAR","Belgium","ODA Grants","Government & Civil Society",2017,0.521595,0.6041719999999999
"MAR","Belgium","ODA Grants","Government & Civil Society",2018,0.352358,0.38324800000000003
"MAR","Belgium","ODA Grants","Government & Civil Society",2019,0.29557900000000004,0.332776
"MAR","Belgium","ODA Grants","Government & Civil Society",2020,0.344058,0.37452599999999997
"MAR","Belgium","ODA Grants","Government & Civil Society",2021,0.309168,0.315654
"MAR","Belgium","ODA Grants","Government & Civil Society",2022,1.727021,1.855816
"MAR","Belgium","ODA Grants","Government & Civil Society",2023,1.927304,1.927304
"MAR","Belgium","ODA Grants","Health",2016,0.051273,0.061742
"MAR","Belgium","ODA Grants","Health",2017,0.06426,0.074433
"MAR","Belgium","ODA Grants","Other Multisector",2011,0.252921,0.260866
"MAR","Belgium","ODA Grants","Other Multisector",2012,0.243653,0.265986
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2006,1.597477,1.987897
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2007,2.023524,2.265079
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2008,3.5156669999999997,3.664985
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2009,11.590899,12.418318
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2010,8.468727999999999,9.379760999999998
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2011,14.403674,14.856135
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2012,5.099559,5.566979
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2013,0.722464,0.75291
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2014,1.570167,1.623775
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2015,1.37547,1.682494
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2016,3.086185,3.7163519999999997
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2017,3.182055,3.685821
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2018,0.7003440000000001,0.7617419999999999
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2019,0.972051,1.094375
"MAR","Belgium","ODA Grants","Water Supply & Sanitation",2020,0.045987,0.050058000000000005
"MAR","Belgium","Other Official Flows (non Export Credit)","Energy",2019,0.347028,0.390698
"MAR","Belgium","Other Official Flows (non Export Credit)","Energy",2020,0,0
"MAR","Belgium","Other Official Flows (non Export Credit)","Energy",2022,0.023377,0.02512
"MAR","Belgium","Other Official Flows (non Export Credit)","Energy",2023,0,0
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2009,0.008282,0.009816
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2011,0.174583,0.168927
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2012,0.120797,0.116656
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2013,0.127606,0.124881
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2014,5.97e-4,6.15e-4
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2017,0.061629,0.072795
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2018,0.11064,0.128365
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2019,0.7402679999999999,0.8659540000000001
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2020,0.894222,1.046039
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2021,0.449575,0.456521
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2022,0.493636,0.483535
"MAR","Canada","ODA Grants","Agriculture, Forestry, Fishing",2023,0.5665560000000001,0.5665560000000001
"MAR","Canada","ODA Grants","Business & Other Services",2018,1.180238,1.369323
"MAR","Canada","ODA Grants","Business & Other Services",2019,0.252676,0.295576
"MAR","Canada","ODA Grants","Business & Other Services",2020,0.273814,0.32030200000000003
"MAR","Canada","ODA Grants","Business & Other Services",2021,0.143194,0.145407
"MAR","Canada","ODA Grants","Business & Other Services",2022,0.186774,0.182952
"MAR","Canada","ODA Grants","Emergency Response",2007,0.004254,0.004822
"MAR","Canada","ODA Grants","Emergency Response",2008,3.2e-4,3.49e-4
"MAR","Canada","ODA Grants","Energy",2021,0.234543,0.238168
"MAR","Canada","ODA Grants","Energy",2022,0.193593,0.18963
"MAR","Canada","ODA Grants","Energy",2023,0.053474,0.053474
"MAR","Canada","ODA Grants","General Environment Protection",2008,0.013902,0.015168
"MAR","Canada","ODA Grants","General Environment Protection",2009,0.06776599999999999,0.080319
"MAR","Canada","ODA Grants","General Environment Protection",2011,0.008978,0.008687
"MAR","Canada","ODA Grants","General Environment Protection",2012,0,0
"MAR","Canada","ODA Grants","General Environment Protection",2013,0.009125,0.008929
"MAR","Canada","ODA Grants","General Environment Protection",2016,7.092199,8.773292
"MAR","Canada","ODA Grants","General Environment Protection",2017,3.0814259999999996,3.6397399999999998
"MAR","Canada","ODA Grants","General Environment Protection",2021,0.054101,0.054937
"MAR","Canada","ODA Grants","General Environment Protection",2022,0,0
"MAR","Canada","ODA Grants","General Environment Protection",2023,0.125992,0.125992
"MAR","Canada","ODA Grants","Government & Civil Society",2019,1.226562,1.434814
"MAR","Canada","ODA Grants","Government & Civil Society",2020,1.2296829999999999,1.438453
"MAR","Canada","ODA Grants","Government & Civil Society",2021,0.214791,0.21811
"MAR","Canada","ODA Grants","Government & Civil Society",2022,0.28015999999999996,0.274426
