"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"MEX","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.024553,0.024346
"MEX","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.008357,0.008292
"MEX","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,1.87e-4,1.87e-4
"MEX","Australia","ODA Grants","Communications",2021,0.01204,0.011938
"MEX","Australia","ODA Grants","Education",2021,0.009575,0.009494
"MEX","Australia","ODA Grants","Education",2023,0.022882,0.022882
"MEX","Australia","ODA Grants","General Environment Protection",2003,0,0
"MEX","Australia","ODA Grants","General Environment Protection",2012,0.690131,0.592082
"MEX","Australia","ODA Grants","General Environment Protection",2013,0.150719,0.13695
"MEX","Australia","ODA Grants","General Environment Protection",2021,0.01204,0.011938
"MEX","Australia","ODA Grants","Government & Civil Society",2015,0.005327,0.006243
"MEX","Australia","ODA Grants","Government & Civil Society",2016,0.161808,0.189933
"MEX","Australia","ODA Grants","Government & Civil Society",2017,0.175868,0.193394
"MEX","Australia","ODA Grants","Government & Civil Society",2018,0.080805,0.089096
"MEX","Australia","ODA Grants","Government & Civil Society",2021,0.024554,0.024346
"MEX","Australia","ODA Grants","Government & Civil Society",2022,0.041787,0.041458
"MEX","Australia","ODA Grants","Government & Civil Society",2023,0.05283,0.05283
"MEX","Australia","ODA Grants","Health",2021,0.01204,0.011938
"MEX","Australia","ODA Grants","Health",2022,0.008357,0.008292
"MEX","Australia","ODA Grants","Health",2023,1.88e-4,1.88e-4
"MEX","Australia","ODA Grants","Other Multisector",2012,0.011797,0.010121
"MEX","Australia","ODA Grants","Other Multisector",2013,0.016008,0.014546
"MEX","Australia","ODA Grants","Reconstruction Relief & Rehabilitation",2022,0.008357,0.008292
"MEX","Australia","ODA Grants","Reconstruction Relief & Rehabilitation",2023,1.87e-4,1.87e-4
"MEX","Australia","ODA Grants","Water Supply & Sanitation",2016,0.04906,0.057587
"MEX","Austria","ODA Grants","Agriculture, Forestry, Fishing",2011,0,0
"MEX","Austria","ODA Grants","Agriculture, Forestry, Fishing",2012,0.033177,0.036689
"MEX","Austria","ODA Grants","Agriculture, Forestry, Fishing",2013,0.013355,0.01406
"MEX","Austria","ODA Grants","Agriculture, Forestry, Fishing",2014,0.02337,0.024144
"MEX","Azerbaijan","ODA Grants","Emergency Response",2020,0.0018,0.001943
"MEX","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2010,0.030685,0.033986
"MEX","Belgium","ODA Grants","Government & Civil Society",2011,0.091242,0.094108
"MEX","Belgium","ODA Grants","Government & Civil Society",2012,0.084611,0.092366
"MEX","Belgium","ODA Grants","Government & Civil Society",2013,0.1007,0.104943
"MEX","Belgium","ODA Grants","Other Multisector",2007,0.701355,0.785079
"MEX","Belgium","ODA Grants","Other Multisector",2008,0.17393,0.181318
"MEX","Belgium","Other Official Flows (non Export Credit)","Energy",2021,1.702191,1.737904
"MEX","Belgium","Other Official Flows (non Export Credit)","Energy",2022,0.237613,0.255333
"MEX","Belgium","Other Official Flows (non Export Credit)","Energy",2023,0.011254,0.011254
"MEX","Bezos Earth Fund","Private Development Finance","General Environment Protection",2020,7.2,8.35574
"MEX","Bloomberg Family Foundation","Private Development Finance","Other Multisector",2018,0.335,0.400442
"MEX","Bloomberg Family Foundation","Private Development Finance","Other Multisector",2021,0.308,0.341832
"MEX","Bloomberg Family Foundation","Private Development Finance","Other Multisector",2022,2.115,2.191106
"MEX","Canada","ODA Grants","Agriculture, Forestry, Fishing",2007,0.149865,0.169883
"MEX","Canada","ODA Grants","Agriculture, Forestry, Fishing",2008,0.140426,0.153209
"MEX","Canada","ODA Grants","Agriculture, Forestry, Fishing",2009,0,0
"MEX","Canada","ODA Grants","Agriculture, Forestry, Fishing",2011,1.091902,1.056529
"MEX","Canada","ODA Grants","Energy",2012,0.119095,0.115013
"MEX","Canada","ODA Grants","General Environment Protection",2004,0,0
"MEX","Canada","ODA Grants","General Environment Protection",2005,0.107287,0.14534
"MEX","Canada","ODA Grants","General Environment Protection",2006,0.039672,0.049049
"MEX","Canada","ODA Grants","General Environment Protection",2007,0.13311,0.15089
"MEX","Canada","ODA Grants","General Environment Protection",2008,0.076258,0.083199
"MEX","Canada","ODA Grants","General Environment Protection",2009,0,0
"MEX","Canada","ODA Grants","General Environment Protection",2012,2.627102,2.537045
"MEX","Canada","ODA Grants","General Environment Protection",2013,0.986241,0.965179
"MEX","Canada","ODA Grants","General Environment Protection",2014,0.0028339999999999997,0.0029170000000000003
"MEX","Canada","ODA Grants","General Environment Protection",2017,0.53925,0.636955
"MEX","Canada","ODA Grants","General Environment Protection",2018,0.8648330000000001,1.003388
"MEX","Canada","ODA Grants","General Environment Protection",2019,0.596387,0.6976450000000001
"MEX","Canada","ODA Grants","General Environment Protection",2020,0.669072,0.7826649999999999
"MEX","Canada","ODA Grants","General Environment Protection",2021,0.747654,0.759208
"MEX","Canada","ODA Grants","General Environment Protection",2022,0.314519,0.30808
"MEX","Canada","ODA Grants","General Environment Protection",2023,0.209432,0.209432
"MEX","Canada","ODA Grants","Government & Civil Society",2013,0.010614,0.010388999999999999
"MEX","Canada","ODA Grants","Government & Civil Society",2014,0.009912,0.010203
"MEX","Canada","ODA Grants","Industry, Mining, Construction",2012,0.950761,0.918169
"MEX","Canada","ODA Grants","Industry, Mining, Construction",2013,0.003538,0.003463
"MEX","Canada","ODA Grants","Industry, Mining, Construction",2014,0.003304,0.003401
"MEX","Canada","ODA Grants","Other Multisector",2021,0.034144,0.034672
"MEX","Canada","ODA Grants","Other Multisector",2022,0.099593,0.097554
"MEX","Canada","ODA Grants","Other Multisector",2023,0.081699,0.081699
"MEX","Canada","ODA Grants","Other Social Infrastructure & Services",2010,0.12870399999999999,0.133917
"MEX","Canada","ODA Grants","Other Social Infrastructure & Services",2011,0.053836999999999996,0.052092
"MEX","Canada","ODA Grants","Other Social Infrastructure & Services",2012,1.022048,0.9870110000000001
"MEX","Canada","ODA Grants","Other Social Infrastructure & Services",2013,0,0
"MEX","Canada","ODA Grants","Population Policies/Programmes",2009,0,0
"MEX","Canada","ODA Grants","Trade Policies & Regulations",2013,0.003538,0.003463
"MEX","Canada","ODA Grants","Trade Policies & Regulations",2014,0.003304,0.003401
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2009,0,0
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2010,0.031654,0.032936999999999994
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2011,0.034253,0.033143000000000006
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2012,0.676791,0.653591
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2013,0.018967,0.018562
"MEX","Canada","ODA Grants","Water Supply & Sanitation",2014,0,0
"MEX","Canada","ODA Loans","Agriculture, Forestry, Fishing",2018,0,0
"MEX","Canada","ODA Loans","Agriculture, Forestry, Fishing",2019,0.791635,0.926043
"MEX","Canada","ODA Loans","Agriculture, Forestry, Fishing",2020,0.541307,0.633207
"MEX","Canada","ODA Loans","Banking & Financial Services",2020,0,0
"MEX","Canada","ODA Loans","Energy",2018,0,0
"MEX","Canada","ODA Loans","Energy",2019,6.333082,7.408345
"MEX","Canada","ODA Loans","Energy",2020,4.330451,5.065657
"MEX","Canada","ODA Loans","Energy",2021,0,0
"MEX","Canada","ODA Loans","Other Multisector",2019,0,0
"MEX","Canada","ODA Loans","Transport & Storage",2018,0,0
"MEX","Canada","ODA Loans","Transport & Storage",2019,0.071967,0.084186
"MEX","Canada","ODA Loans","Transport & Storage",2020,0.04921,0.057564
"MEX","Children's Investment Fund Foundation","Private Development Finance","Energy",2017,0.794306,0.948537
"MEX","Children's Investment Fund Foundation","Private Development Finance","Energy",2018,2.8767,3.2537890000000003
"MEX","Children's Investment Fund Foundation","Private Development Finance","Energy",2019,1.815,2.100935
"MEX","Children's Investment Fund Foundation","Private Development Finance","Energy",2020,2.23,2.446861
"MEX","Children's Investment Fund Foundation","Private Development Finance","Energy",2021,0.76827,0.785482
"MEX","Children's Investment Fund Foundation","Private Development Finance","General Environment Protection",2021,1.4667299999999999,1.49959
"MEX","Children's Investment Fund Foundation","Private Development Finance","General Environment Protection",2022,2.083078,2.253721
"MEX","Children's Investment Fund Foundation","Private Development Finance","General Environment Protection",2023,2.24936,2.24936
"MEX","Children's Investment Fund Foundation","Private Development Finance","Transport & Storage",2017,0.146301,0.174708
"MEX","Children's Investment Fund Foundation","Private Development Finance","Transport & Storage",2018,0.8767,0.991621
"MEX","Children's Investment Fund Foundation","Private Development Finance","Transport & Storage",2019,0.815,0.943395
"MEX","Children's Investment Fund Foundation","Private Development Finance","Transport & Storage",2020,1.03,1.1301640000000002
"MEX","Children's Investment Fund Foundation","Private Development Finance","Water Supply & Sanitation",2017,0.1254,0.149747
"MEX","Children's Investment Fund Foundation","Private Development Finance","Water Supply & Sanitation",2018,0.1086,0.122836
"MEX","Climate Investment Funds","ODA Grants","Agriculture, Forestry, Fishing",2012,0,0
"MEX","Climate Investment Funds","ODA Grants","Agriculture, Forestry, Fishing",2013,0,0
"MEX","Climate Investment Funds","ODA Grants","Agriculture, Forestry, Fishing",2017,8.096977,9.228671
"MEX","Climate Investment Funds","ODA Grants","Agriculture, Forestry, Fishing",2018,7.922796,8.666743
"MEX","Climate Investment Funds","ODA Grants","Banking & Financial Services",2013,0.001422,0.00148
"MEX","Climate Investment Funds","ODA Grants","Energy",2012,0,0
"MEX","Climate Investment Funds","ODA Grants","Energy",2013,0.003036,0.00316
"MEX","Climate Investment Funds","ODA Grants","Energy",2014,0,0
"MEX","Climate Investment Funds","ODA Grants","Energy",2017,0.5089509999999999,0.580086
"MEX","Climate Investment Funds","ODA Grants","Energy",2018,1.606909,1.757798
"MEX","Climate Investment Funds","ODA Grants","General Environment Protection",2013,0.219474,0.228455
"MEX","Climate Investment Funds","ODA Grants","Other Social Infrastructure & Services",2013,0.153194,0.159464
"MEX","Climate Investment Funds","ODA Loans","Agriculture, Forestry, Fishing",2012,0,0
"MEX","Climate Investment Funds","ODA Loans","Agriculture, Forestry, Fishing",2013,0,0
"MEX","Climate Investment Funds","ODA Loans","Agriculture, Forestry, Fishing",2017,6.254297,7.128444
"MEX","Climate Investment Funds","ODA Loans","Agriculture, Forestry, Fishing",2018,5.3102979999999995,5.808933
"MEX","Climate Investment Funds","ODA Loans","Energy",2012,0,0
"MEX","Climate Investment Funds","ODA Loans","Energy",2014,0,0
"MEX","Climate Investment Funds","ODA Loans","General Environment Protection",2013,1.781282,1.854179
"MEX","Climate Investment Funds","ODA Loans","Transport & Storage",2017,0.252113,0.287351
"MEX","Climate Investment Funds","Other Official Flows (non Export Credit)","Banking & Financial Services",2013,70,72.864678
"MEX","Climate Investment Funds","Other Official Flows (non Export Credit)","Energy",2013,0,0
"MEX","David and Lucile Packard Foundation","Private Development Finance","Agriculture, Forestry, Fishing",2018,0.10723400000000001,0.128181
"MEX","David and Lucile Packard Foundation","Private Development Finance","Agriculture, Forestry, Fishing",2020,0.085,0.098644
"MEX","David and Lucile Packard Foundation","Private Development Finance","Agriculture, Forestry, Fishing",2021,0.416667,0.462434
"MEX","David and Lucile Packard Foundation","Private Development Finance","Agriculture, Forestry, Fishing",2023,0.19,0.19
"MEX","David and Lucile Packard Foundation","Private Development Finance","Energy",2018,0.007234,0.008647
"MEX","David and Lucile Packard Foundation","Private Development Finance","General Environment Protection",2018,0.632,0.755461
"MEX","David and Lucile Packard Foundation","Private Development Finance","General Environment Protection",2019,0.04,0.047038
"MEX","David and Lucile Packard Foundation","Private Development Finance","General Environment Protection",2020,0.3375,0.391675
"MEX","David and Lucile Packard Foundation","Private Development Finance","General Environment Protection",2021,0.41269999999999996,0.458032
"MEX","David and Lucile Packard Foundation","Private Development Finance","General Environment Protection",2022,1.0350000000000001,1.0722420000000001
"MEX","David and Lucile Packard Foundation","Private Development Finance","Government & Civil Society",2018,0.007686,0.009188
"MEX","David and Lucile Packard Foundation","Private Development Finance","Other Multisector",2018,0.015372,0.018376
"MEX","David and Lucile Packard Foundation","Private Development Finance","Water Supply & Sanitation",2018,0.007686,0.009188
"MEX","Denmark","ODA Grants","Emergency Response",2022,0.164557,0.162603
"MEX","Denmark","ODA Grants","Emergency Response",2023,0.188467,0.188467
"MEX","Denmark","ODA Grants","Energy",2022,0.042377,0.041874
"MEX","Denmark","ODA Grants","Energy",2023,0.072561,0.072561
"MEX","Denmark","ODA Grants","General Environment Protection",2013,0,0
"MEX","Denmark","ODA Grants","General Environment Protection",2014,0,0
"MEX","Denmark","ODA Grants","General Environment Protection",2015,2.6591069999999997,2.968736
"MEX","Denmark","ODA Grants","General Environment Protection",2016,1.655399,1.841783
"MEX","Denmark","ODA Grants","General Environment Protection",2017,1.855293,2.002581
"MEX","Denmark","ODA Grants","General Environment Protection",2018,0.157888,0.162019
"MEX","Denmark","ODA Grants","General Environment Protection",2019,0.149467,0.160493
"MEX","Denmark","ODA Grants","General Environment Protection",2022,0.284498,0.281121
"MEX","Denmark","Private Sector Instruments (PSI)","Energy",2023,7.94973,7.94973
"MEX","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2011,2.975529,2.96246
"MEX","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2014,2.918933,2.942557
"MEX","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2020,1.139601,1.229406
"MEX","EU Institutions","ODA Grants","Business & Other Services",2017,0.444302,0.509634
"MEX","EU Institutions","ODA Grants","Business & Other Services",2018,0.516322,0.557192
"MEX","EU Institutions","ODA Grants","Business & Other Services",2019,0.923475,1.033351
"MEX","EU Institutions","ODA Grants","Business & Other Services",2020,0.295476,0.31876
"MEX","EU Institutions","ODA Grants","Energy",2016,0.502422,0.594039
"MEX","EU Institutions","ODA Grants","General Environment Protection",2010,0.322157,0.34047299999999997
"MEX","EU Institutions","ODA Grants","General Environment Protection",2012,8.627616000000002,9.17567
"MEX","EU Institutions","ODA Grants","General Environment Protection",2013,0.291463,0.296436
"MEX","EU Institutions","ODA Grants","General Environment Protection",2016,0.091231,0.107867
"MEX","EU Institutions","ODA Grants","General Environment Protection",2022,0.617278,0.672252
"MEX","EU Institutions","ODA Grants","Government & Civil Society",2020,1.920023,2.071328
"MEX","EU Institutions","ODA Grants","Government & Civil Society",2021,0.544264,0.553992
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2009,0.065299,0.066114
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2010,0.026455,0.027959
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2011,0.902053,0.898091
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2012,0.560353,0.595949
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2013,0.38837,0.39499599999999996
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2014,0.26818,0.27035
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2015,0.317116,0.377131
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2016,0.220978,0.261273
"MEX","EU Institutions","ODA Grants","Industry, Mining, Construction",2022,0.617278,0.672252
"MEX","EU Institutions","ODA Grants","Other Multisector",2016,3.162468,3.7391500000000004
"MEX","EU Institutions","ODA Grants","Other Multisector",2022,0.192723,0.209886
"MEX","EU Institutions","ODA Grants","Other Multisector",2023,0.064035,0.064035
"MEX","EU Institutions","ODA Grants","Other Social Infrastructure & Services",2011,0.159727,0.159026
"MEX","EU Institutions","ODA Grants","Other Social Infrastructure & Services",2012,0.087822,0.093401
"MEX","EU Institutions","ODA Grants","Other Social Infrastructure & Services",2013,0.101434,0.103165
"MEX","EU Institutions","ODA Grants","Other Social Infrastructure & Services",2015,0.01787,0.021252
"MEX","Finland","Equity Investment","Agriculture, Forestry, Fishing",2014,7.64,7.538411
"MEX","Finland","Equity Investment","Agriculture, Forestry, Fishing",2015,4.504,5.230203
"MEX","Finland","ODA Grants","Agriculture, Forestry, Fishing",2010,0.047285,0.051461
"MEX","Finland","ODA Grants","Agriculture, Forestry, Fishing",2011,0.049638,0.050157
"MEX","Finland","ODA Grants","Agriculture, Forestry, Fishing",2012,0.045887,0.048721
"MEX","Finland","ODA Grants","Agriculture, Forestry, Fishing",2013,0,0
"MEX","Finland","ODA Grants","Agriculture, Forestry, Fishing",2014,0.042092,0.041533
