"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"MNE","Adaptation Fund","ODA Grants","General Environment Protection",2023,1.942,1.942
"MNE","Adaptation Fund","ODA Grants","Other Multisector",2021,0.666654,0.678216
"MNE","Adaptation Fund","ODA Grants","Other Multisector",2022,0.620784,0.650624
"MNE","Australia","ODA Grants","Education",2021,0.005885,0.005835
"MNE","Australia","ODA Grants","Education",2022,0.00316,0.003136
"MNE","Australia","ODA Grants","Education",2023,0.006071,0.006071
"MNE","Australia","ODA Grants","Government & Civil Society",2022,0.006535,0.006484
"MNE","Australia","ODA Grants","Government & Civil Society",2023,0.001955,0.001955
"MNE","Australia","ODA Grants","Health",2023,0.002032,0.002032
"MNE","Austria","ODA Grants","Energy",2006,0.376553,0.47385
"MNE","Austria","ODA Grants","Energy",2008,0.015578,0.016375
"MNE","Austria","ODA Grants","Energy",2009,0.400084,0.428191
"MNE","Austria","ODA Grants","Energy",2010,0.024993,0.027869
"MNE","Austria","ODA Grants","Energy",2012,0,0
"MNE","Austria","ODA Grants","Energy",2016,0.044178,0.05261
"MNE","Austria","ODA Grants","General Environment Protection",2008,7.4e-4,7.78e-4
"MNE","Austria","ODA Grants","Government & Civil Society",2010,0.07947,0.088613
"MNE","Austria","ODA Grants","Government & Civil Society",2011,0.048671,0.050767
"MNE","Austria","ODA Grants","Government & Civil Society",2012,0.025707,0.028428
"MNE","Austria","ODA Grants","Government & Civil Society",2013,0.008353,0.008794
"MNE","Austria","ODA Grants","Industry, Mining, Construction",2006,0.13704,0.17245
"MNE","Austria","ODA Grants","Industry, Mining, Construction",2007,0.024392,0.027526
"MNE","Austria","ODA Grants","Industry, Mining, Construction",2008,0.099596,0.104696
"MNE","Austria","Other Official Flows (non Export Credit)","Energy",2020,16.068376,17.355298
"MNE","Austria","Other Official Flows (non Export Credit)","Energy",2021,0,0
"MNE","Austria","Other Official Flows (non Export Credit)","Energy",2022,0,0
"MNE","Austria","Private Sector Instruments (PSI)","Energy",2023,0,0
"MNE","Belgium","ODA Grants","Health",2011,0.027809,0.028682
"MNE","Croatia","ODA Grants","General Environment Protection",2023,0.022571,0.022571
"MNE","Czechia","ODA Grants","General Environment Protection",2015,0.029875,0.046608
"MNE","Czechia","ODA Grants","General Environment Protection",2016,0.004813,0.007352
"MNE","Czechia","ODA Grants","Water Supply & Sanitation",2023,0.001925,0.001925
"MNE","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2009,0.022124,0.0224
"MNE","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2012,0.719794,0.765518
"MNE","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2014,0.124677,0.125686
"MNE","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",2015,0,0
