"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"MOZ","Adaptation Fund","ODA Grants","Other Multisector",2021,0.938638,0.954917
"MOZ","Adaptation Fund","ODA Grants","Other Multisector",2022,0.939975,0.985159
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",1999,0,0
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2000,0.465682,1.08907
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2001,0.293996,0.744892
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2002,0.303047,0.709257
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2010,0.030573,0.030784
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2012,0.247148,0.212035
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2020,0.705408,0.806899
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.332334,0.329521
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.46453,0.46086600000000005
"MOZ","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,1.064848,1.064848
"MOZ","Australia","ODA Grants","Banking & Financial Services",2010,0.002275,0.00229
"MOZ","Australia","ODA Grants","Banking & Financial Services",2012,0.627447,0.538304
"MOZ","Australia","ODA Grants","Banking & Financial Services",2021,0.015247,0.015118
"MOZ","Australia","ODA Grants","Banking & Financial Services",2022,0.0077789999999999995,0.007717999999999999
"MOZ","Australia","ODA Grants","Banking & Financial Services",2023,0.0011819999999999999,0.0011819999999999999
"MOZ","Australia","ODA Grants","Business & Other Services",2021,0.006697999999999999,0.006641
"MOZ","Australia","ODA Grants","Business & Other Services",2022,0.00228,0.002262
"MOZ","Australia","ODA Grants","Business & Other Services",2023,0.016354,0.016354
"MOZ","Australia","ODA Grants","Communications",2021,0.006902,0.006843
"MOZ","Australia","ODA Grants","Development Food Assistance",2009,0.0916,0.114205
"MOZ","Australia","ODA Grants","Development Food Assistance",2010,0.007871,0.007925
"MOZ","Australia","ODA Grants","Disaster Prevention & Preparedness",2010,0.005681,0.00572
"MOZ","Australia","ODA Grants","Disaster Prevention & Preparedness",2020,0.035978,0.041154
"MOZ","Australia","ODA Grants","Disaster Prevention & Preparedness",2022,0.001005,9.97e-4
"MOZ","Australia","ODA Grants","Disaster Prevention & Preparedness",2023,0.001075,0.001075
"MOZ","Australia","ODA Grants","Education",2010,0.008284,0.00834
"MOZ","Australia","ODA Grants","Education",2021,0.018000000000000002,0.017846
"MOZ","Australia","ODA Grants","Education",2022,0.011054,0.010967
"MOZ","Australia","ODA Grants","Education",2023,0.03791,0.03791
"MOZ","Australia","ODA Grants","Emergency Response",2009,0.78125,0.974047
"MOZ","Australia","ODA Grants","Emergency Response",2017,0.032662,0.035916
"MOZ","Australia","ODA Grants","Emergency Response",2019,0.027917,0.032005
"MOZ","Australia","ODA Grants","General Environment Protection",2010,0.002538,0.002555
"MOZ","Australia","ODA Grants","General Environment Protection",2021,0.002432,0.002411
"MOZ","Australia","ODA Grants","General Environment Protection",2022,0.020325,0.020164
"MOZ","Australia","ODA Grants","General Environment Protection",2023,0.002623,0.002623
"MOZ","Australia","ODA Grants","Government & Civil Society",2009,0.8297570000000001,1.0345250000000001
"MOZ","Australia","ODA Grants","Government & Civil Society",2010,0.057644,0.058040999999999995
"MOZ","Australia","ODA Grants","Government & Civil Society",2012,0.491031,0.421269
"MOZ","Australia","ODA Grants","Government & Civil Society",2021,0.078345,0.077681
"MOZ","Australia","ODA Grants","Government & Civil Society",2022,0.02851,0.028286
"MOZ","Australia","ODA Grants","Government & Civil Society",2023,0.016964,0.016964
"MOZ","Australia","ODA Grants","Health",2010,0.00718,0.00723
"MOZ","Australia","ODA Grants","Health",2021,0.077311,0.076657
"MOZ","Australia","ODA Grants","Health",2022,0.14216,0.141038
"MOZ","Australia","ODA Grants","Health",2023,0.165051,0.165051
"MOZ","Australia","ODA Grants","Industry, Mining, Construction",2010,0.0025559999999999997,0.002574
"MOZ","Australia","ODA Grants","Industry, Mining, Construction",2021,0.010196,0.01011
"MOZ","Australia","ODA Grants","Industry, Mining, Construction",2022,0.004272,0.004238
"MOZ","Australia","ODA Grants","Other Multisector",2009,0.084262,0.10505500000000001
"MOZ","Australia","ODA Grants","Other Multisector",2010,0.0296,0.029803
"MOZ","Australia","ODA Grants","Other Multisector",2011,0.279662,0.239045
"MOZ","Australia","ODA Grants","Other Multisector",2012,0.097791,0.083898
"MOZ","Australia","ODA Grants","Other Multisector",2013,1.430625,1.299928
"MOZ","Australia","ODA Grants","Other Multisector",2014,0.08379700000000001,0.081269
"MOZ","Australia","ODA Grants","Other Multisector",2015,0.255143,0.298996
"MOZ","Australia","ODA Grants","Other Multisector",2019,0.740187,0.848584
"MOZ","Australia","ODA Grants","Other Multisector",2020,0.723103,0.827142
"MOZ","Australia","ODA Grants","Other Multisector",2021,0.43658800000000003,0.43289299999999997
"MOZ","Australia","ODA Grants","Other Multisector",2022,0.204816,0.2032
"MOZ","Australia","ODA Grants","Other Multisector",2023,0.34633499999999995,0.34633499999999995
"MOZ","Australia","ODA Grants","Other Social Infrastructure & Services",2009,0.121634,0.15165
"MOZ","Australia","ODA Grants","Other Social Infrastructure & Services",2010,0.010766,0.01084
"MOZ","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.007189,0.007129
"MOZ","Australia","ODA Grants","Other Social Infrastructure & Services",2023,0.028803,0.028803
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2009,0.44208,0.551176
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2010,0.025163,0.025336
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2012,0.210658,0.180729
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2021,0.007938,0.007872
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2022,0.042722,0.042384
"MOZ","Australia","ODA Grants","Population Policies/Programmes",2023,0.020168,0.020168
"MOZ","Australia","ODA Grants","Tourism",2010,2.44e-4,2.46e-4
"MOZ","Australia","ODA Grants","Tourism",2021,0.005481,0.005434
"MOZ","Australia","ODA Grants","Transport & Storage",2010,0.00658,0.006625
"MOZ","Australia","ODA Grants","Unallocated / Unspecified",2009,0,0
"MOZ","Australia","ODA Grants","Unallocated / Unspecified",2010,0.001133,0.001141
"MOZ","Australia","ODA Grants","Unallocated / Unspecified",2021,9.96e-4,9.87e-4
