"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"NGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,0.006154,0.006261
"NGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.274558,0.287755
"NGA","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,0.004,0.004069
"NGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.006178,0.006126
"NGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.086697,0.086013
"NGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,0.09839,0.09839
"NGA","Australia","ODA Grants","Banking & Financial Services",2012,0.135851,0.116551
"NGA","Australia","ODA Grants","Banking & Financial Services",2022,0.022744,0.022565
"NGA","Australia","ODA Grants","Development Food Assistance",2016,0.295101,0.346396
"NGA","Australia","ODA Grants","Disaster Prevention & Preparedness",2021,0.029519,0.029269
"NGA","Australia","ODA Grants","Disaster Prevention & Preparedness",2022,0.031382,0.031135
"NGA","Australia","ODA Grants","Education",2021,0.11152000000000001,0.11057499999999999
"NGA","Australia","ODA Grants","Education",2023,0.034854,0.034854
"NGA","Australia","ODA Grants","Energy",2022,0.036655,0.036366
"NGA","Australia","ODA Grants","General Environment Protection",2022,0.32989199999999996,0.32728999999999997
"NGA","Australia","ODA Grants","Government & Civil Society",2021,0.10727600000000001,0.10636799999999999
"NGA","Australia","ODA Grants","Government & Civil Society",2023,0.033107,0.033107
"NGA","Australia","ODA Grants","Health",2021,0.233113,0.231139
"NGA","Australia","ODA Grants","Health",2022,0.572867,0.568349
"NGA","Australia","ODA Grants","Health",2023,0.39164400000000005,0.39164400000000005
"NGA","Australia","ODA Grants","Other Multisector",2011,0.740245,0.632734
"NGA","Australia","ODA Grants","Other Multisector",2013,0.04536,0.041216
"NGA","Australia","ODA Grants","Other Multisector",2014,0.597622,0.579598
"NGA","Australia","ODA Grants","Other Multisector",2015,0.32348,0.379079
"NGA","Australia","ODA Grants","Other Multisector",2019,1.078298,1.2362110000000002
"NGA","Australia","ODA Grants","Other Multisector",2020,1.086856,1.243229
"NGA","Australia","ODA Grants","Other Multisector",2021,0.763843,0.757381
"NGA","Australia","ODA Grants","Other Multisector",2022,0.115194,0.11428600000000001
"NGA","Australia","ODA Grants","Other Multisector",2023,0.14960400000000001,0.14960400000000001
"NGA","Australia","ODA Grants","Other Social Infrastructure & Services",2012,1.054475,0.904663
"NGA","Australia","ODA Grants","Other Social Infrastructure & Services",2013,0.133347,0.121165
"NGA","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.170246,0.168806
"NGA","Australia","ODA Grants","Other Social Infrastructure & Services",2022,0.008013,0.007949
"NGA","Australia","ODA Grants","Other Social Infrastructure & Services",2023,0.004633,0.004633
"NGA","Australia","ODA Grants","Population Policies/Programmes",2021,0.009611,0.009529
"NGA","Australia","ODA Grants","Population Policies/Programmes",2022,0.207658,0.20602
"NGA","Australia","ODA Grants","Population Policies/Programmes",2023,0.237435,0.237435
"NGA","Australia","ODA Grants","Water Supply & Sanitation",2018,0.001473,0.001624
"NGA","Australia","ODA Grants","Water Supply & Sanitation",2021,0.016818,0.016677
"NGA","Austria","ODA Grants","Agriculture, Forestry, Fishing",2016,0.019905,0.023704
"NGA","Austria","ODA Grants","Energy",2014,0.009951,0.010281
"NGA","Austria","ODA Grants","Energy",2017,0,0
"NGA","Austria","ODA Grants","Energy",2018,0.265658,0.28836300000000004
"NGA","Austria","ODA Grants","Energy",2019,0.251689,0.283899
"NGA","Austria","ODA Grants","Energy",2020,0.086693,0.093636
"NGA","Austria","ODA Grants","Energy",2021,0,0
"NGA","Austria","ODA Grants","Energy",2023,0.030264,0.030264
"NGA","Austria","ODA Grants","Water Supply & Sanitation",2018,0.015697,0.017039
"NGA","Austria","ODA Grants","Water Supply & Sanitation",2019,0.016792,0.018941
"NGA","Austria","ODA Grants","Water Supply & Sanitation",2020,0.009641,0.010413
"NGA","Austria","Other Official Flows (non Export Credit)","Energy",2020,0.518519,0.560047
"NGA","Austria","Other Official Flows (non Export Credit)","Energy",2021,1.47824,1.509944
"NGA","Austria","Other Official Flows (non Export Credit)","Energy",2022,1.577453,1.729589
"NGA","Austria","Private Sector Instruments (PSI)","Energy",2023,0.264922,0.264922
"NGA","Belgium","ODA Grants","Emergency Response",2016,0.829371,0.99872
"NGA","Belgium","ODA Grants","Emergency Response",2017,5.5272310000000004,6.402273
"NGA","Belgium","ODA Grants","Emergency Response",2018,0.295055,0.320922
"NGA","Belgium","ODA Grants","Emergency Response",2019,1.679167,1.8904770000000002
"NGA","Belgium","ODA Grants","Water Supply & Sanitation",2009,0.006963,0.00746
"NGA","Belgium","ODA Grants","Water Supply & Sanitation",2010,0.006358,0.007042
"NGA","Belgium","ODA Grants","Water Supply & Sanitation",2017,0.04517,0.052321
"NGA","Belgium","ODA Grants","Water Supply & Sanitation",2018,0.026465,0.028785
"NGA","Bezos Earth Fund","Private Development Finance","Energy",2022,16.666667,17.266399
"NGA","Bloomberg Family Foundation","Private Development Finance","Energy",2021,2.091667,2.321424
"NGA","Bloomberg Family Foundation","Private Development Finance","Other Multisector",2022,1.3915,1.441572
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2001,0.003875,0.007468
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2002,0.105095,0.20280700000000002
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2003,0.073566,0.122616
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2004,0.051495,0.077241
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2007,0.033218,0.037655
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2008,0.022341,0.024374
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2009,0.315521,0.373971
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2010,0.001456,0.001515
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2011,0.139824,0.135293
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2012,0.5888800000000001,0.568694
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2013,0.589789,0.577194
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2014,0.464136,0.477795
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2015,0.418705,0.503128
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2016,0.436261,0.539669
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2017,0.416201,0.49161
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2018,1.111371,1.289423
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2019,1.513435,1.7703939999999998
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2020,1.9926819999999998,2.33099
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2021,2.962434,3.008215
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2022,0.564163,0.552615
"NGA","Canada","ODA Grants","Agriculture, Forestry, Fishing",2023,0.00827,0.00827
"NGA","Canada","ODA Grants","Banking & Financial Services",2017,0.159012,0.187822
"NGA","Canada","ODA Grants","Banking & Financial Services",2018,0.313902,0.364192
"NGA","Canada","ODA Grants","Banking & Financial Services",2019,0.402838,0.471234
"NGA","Canada","ODA Grants","Banking & Financial Services",2020,0.307581,0.359801
"NGA","Canada","ODA Grants","Business & Other Services",2023,0.014616,0.014616
"NGA","Canada","ODA Grants","Disaster Prevention & Preparedness",2009,0.012857,0.015239
"NGA","Canada","ODA Grants","Education",2017,0.477035,0.5634669999999999
"NGA","Canada","ODA Grants","Education",2018,0.627804,0.728384
"NGA","Canada","ODA Grants","Education",2019,0.805676,0.942468
"NGA","Canada","ODA Grants","Education",2020,0.615162,0.719602
"NGA","Canada","ODA Grants","Energy",2023,0,0
"NGA","Canada","ODA Grants","General Environment Protection",2001,0.133686,0.25763
"NGA","Canada","ODA Grants","General Environment Protection",2002,0.500637,0.9660989999999999
"NGA","Canada","ODA Grants","General Environment Protection",2003,0.187129,0.311898
