"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"NPL","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,2.394909,2.436445
"NPL","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,2.395436,2.510582
"NPL","Adaptation Fund","ODA Grants","Development Food Assistance",2015,2.341906,2.697734
"NPL","Adaptation Fund","ODA Grants","Development Food Assistance",2020,2.394909,2.584867
"NPL","Arcadia Fund","Private Development Finance","General Environment Protection",2018,0.949515,1.073982
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2011,8.688941,8.951728
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2012,5.466826,5.767124
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2013,2.2880000000000003,2.381634
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2014,5.713012,5.9467490000000005
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2015,7.91625,9.119043
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2016,5.527758,6.433006000000001
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2017,6.7736339999999995,7.720367
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2018,3.1512629999999997,3.447167
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2019,0.8190729999999999,0.9109889999999999
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2020,1.048508,1.131674
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2021,0.19048,0.193784
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2022,0.292302,0.306352
"NPL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2023,0.085605,0.085605
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2011,4.7416160000000005,4.885021
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2012,3.674915,3.876781
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2013,4.403,4.583188
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2014,3.13017,3.258238
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2015,0.20037000000000002,0.230814
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2016,0.20625700000000002,0.240034
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2017,0.036436,0.041528
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2018,0.207559,0.227048
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2019,0.6910229999999999,0.76857
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2020,0.41720399999999996,0.450294
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2021,0.060050000000000006,0.061092
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2022,0.048577999999999996,0.050912
"NPL","Asian Development Bank","ODA Grants","Banking & Financial Services",2023,0.050267,0.050267
"NPL","Asian Development Bank","ODA Grants","Communications",2010,0.377694,0.412354
"NPL","Asian Development Bank","ODA Grants","Communications",2011,1.0582960000000001,1.090303
"NPL","Asian Development Bank","ODA Grants","Communications",2012,0.675395,0.712495
"NPL","Asian Development Bank","ODA Grants","Communications",2013,6.269,6.525551999999999
"NPL","Asian Development Bank","ODA Grants","Communications",2014,3.0164649999999997,3.139879
"NPL","Asian Development Bank","ODA Grants","Communications",2015,4.31633,4.972151
"NPL","Asian Development Bank","ODA Grants","Communications",2016,1.505378,1.751905
"NPL","Asian Development Bank","ODA Grants","Communications",2017,4.783359,5.451916
"NPL","Asian Development Bank","ODA Grants","Communications",2018,1.64252,1.7967520000000001
"NPL","Asian Development Bank","ODA Grants","Communications",2019,1.9214600000000002,2.137085
"NPL","Asian Development Bank","ODA Grants","Education",2010,0.509804,0.556587
