"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"PHL","Arcus Foundation","Private Development Finance","Government & Civil Society",2015,0.10750000000000001,0.135069
"PHL","Arcus Foundation","Private Development Finance","Government & Civil Society",2016,0.04,0.049785
"PHL","Arcus Foundation","Private Development Finance","Government & Civil Society",2017,0.13575,0.165986
"PHL","Arcus Foundation","Private Development Finance","Government & Civil Society",2018,0.086726,0.10366800000000001
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2013,0.276,0.287295
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2014,0.238032,0.24777
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2015,0.20070000000000002,0.231194
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2016,0.03576,0.041616
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2017,0.002156,0.002458
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2018,5.44e-4,5.96e-4
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"PHL","Asian Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2023,0.026568,0.026568
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2013,0.321,0.334136
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2014,0.164907,0.171654
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2015,0.02796,0.032208
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2016,0.44242200000000004,0.5148739999999999
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2017,0.44156999999999996,0.503288
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2018,0.47619500000000003,0.520908
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2019,1.218422,1.3551499999999999
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2020,0.280059,0.302275
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2021,0.11089,0.112812
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2022,0.130948,0.137242
"PHL","Asian Development Bank","ODA Grants","Banking & Financial Services",2023,0.223247,0.223247
"PHL","Asian Development Bank","ODA Grants","Communications",2021,0,0
"PHL","Asian Development Bank","ODA Grants","Communications",2023,6.99e-4,6.99e-4
"PHL","Asian Development Bank","ODA Grants","Education",2013,0.863,0.898318
"PHL","Asian Development Bank","ODA Grants","Education",2014,0.430011,0.447602
"PHL","Asian Development Bank","ODA Grants","Education",2015,0.36789000000000005,0.423786
"PHL","Asian Development Bank","ODA Grants","Education",2016,0.065724,0.076488
"PHL","Asian Development Bank","ODA Grants","Education",2017,0.118633,0.135214
"PHL","Asian Development Bank","ODA Grants","Education",2018,0.494056,0.540447
"PHL","Asian Development Bank","ODA Grants","Education",2019,0.027491,0.030576
"PHL","Asian Development Bank","ODA Grants","Education",2020,0.163537,0.176508
"PHL","Asian Development Bank","ODA Grants","Education",2021,0.726013,0.738605
"PHL","Asian Development Bank","ODA Grants","Education",2022,0.246063,0.257891
"PHL","Asian Development Bank","ODA Grants","Education",2023,0.56648,0.56648
"PHL","Asian Development Bank","ODA Grants","Energy",2013,0.061,0.063496
"PHL","Asian Development Bank","ODA Grants","Energy",2014,0.15506,0.161403
"PHL","Asian Development Bank","ODA Grants","Energy",2015,0.12724,0.146573
"PHL","Asian Development Bank","ODA Grants","Energy",2016,0.194353,0.22618
"PHL","Asian Development Bank","ODA Grants","Energy",2017,0.07752600000000001,0.088363
"PHL","Asian Development Bank","ODA Grants","Energy",2018,0,0
"PHL","Asian Development Bank","ODA Grants","Energy",2023,0,0
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2013,0.9450000000000001,0.983673
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2014,0.885762,0.9219999999999999
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2015,1.44548,1.665106
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2016,0.422936,0.492198
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2017,1.00665,1.147346
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2018,1.07523,1.176194
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2019,1.150774,1.27991
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2020,0.836372,0.9027130000000001
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2021,0.301927,0.307165
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2022,0.367635,0.385306
"PHL","Asian Development Bank","ODA Grants","Government & Civil Society",2023,0.449275,0.449275
"PHL","Asian Development Bank","ODA Grants","Health",2013,0,0
"PHL","Asian Development Bank","ODA Grants","Health",2015,0.03855,0.044407
"PHL","Asian Development Bank","ODA Grants","Health",2016,0.470415,0.547452
"PHL","Asian Development Bank","ODA Grants","Health",2017,0.257449,0.293432
"PHL","Asian Development Bank","ODA Grants","Health",2018,0.13074,0.143016
"PHL","Asian Development Bank","ODA Grants","Health",2019,0.081491,0.090636
"PHL","Asian Development Bank","ODA Grants","Health",2020,0.116374,0.125603
"PHL","Asian Development Bank","ODA Grants","Health",2021,0.233141,0.23718499999999998
"PHL","Asian Development Bank","ODA Grants","Health",2022,0.059595,0.06246
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2013,0.001,0.001041
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2014,0.019815,0.020626
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2015,0.03926,0.045225
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2016,0.064209,0.074724
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2017,0.124164,0.141519
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2018,3.9e-4,4.27e-4
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2021,0,0
"PHL","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2023,0.002797,0.002797
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2013,0.186,0.193612
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2014,0.009908,0.010313
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2015,0.00103,0.001186
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2016,0.02458,0.028605
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2017,0.02351,0.026796
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2018,0.265822,0.290782
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2019,0.298478,0.331974
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2020,0.35409999999999997,0.382186
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2021,0.230077,0.234067
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2022,0.472117,0.49481
"PHL","Asian Development Bank","ODA Grants","Other Multisector",2023,0.352202,0.352202
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2011,3,3.090732
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2013,3.019,3.14255
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2014,0.433697,0.451441
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2015,0.21655,0.249452
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2016,0.078151,0.090951
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2017,0.026736,0.030473
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2018,0.113016,0.123628
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2019,0.44901399999999997,0.499401
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2020,4.556496,4.9179059999999994
"PHL","Asian Development Bank","ODA Grants","Other Social Infrastructure & Services",2021,0.73875,0.751563
