"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"PRK","Australia","ODA Grants","Agriculture, Forestry, Fishing",2002,0.39971799999999996,0.935507
"PRK","Australia","ODA Grants","Agriculture, Forestry, Fishing",2003,0.154492,0.294181
"PRK","Australia","ODA Grants","Agriculture, Forestry, Fishing",2004,0.243577,0.394575
"PRK","Australia","ODA Grants","Agriculture, Forestry, Fishing",2005,0.239183,0.357684
"PRK","Australia","ODA Grants","Agriculture, Forestry, Fishing",2006,0.040388,0.058196
"PRK","Australia","ODA Grants","Development Food Assistance",1996,0,0
"PRK","Australia","ODA Grants","Development Food Assistance",2004,1.298749,2.103869
"PRK","Australia","ODA Grants","Development Food Assistance",2005,0.069317,0.10366
"PRK","Australia","ODA Grants","Development Food Assistance",2007,1.25502,1.558429
"PRK","Australia","ODA Grants","Development Food Assistance",2009,1.754808,2.18786
"PRK","Australia","ODA Grants","Development Food Assistance",2014,2.704164,2.622609
"PRK","Australia","ODA Grants","Development Food Assistance",2015,4.508228,5.283084
"PRK","Australia","ODA Grants","Education",1999,0,0
"PRK","Australia","ODA Grants","Emergency Response",1997,0,0
"PRK","Australia","ODA Grants","Emergency Response",1998,0,0
"PRK","Australia","ODA Grants","Emergency Response",1999,0,0
"PRK","Australia","ODA Grants","Emergency Response",2000,4.745439,11.097951
"PRK","Australia","ODA Grants","Emergency Response",2001,3.515035,8.905977
"PRK","Australia","ODA Grants","Emergency Response",2002,0.543094,1.27107
"PRK","Australia","ODA Grants","Emergency Response",2003,1.945949,3.705437
"PRK","Australia","ODA Grants","Emergency Response",2004,1.287522,2.085681
"PRK","Australia","ODA Grants","Emergency Response",2005,3.808653,5.6956
"PRK","Australia","ODA Grants","Emergency Response",2006,1.882672,2.71279
"PRK","Australia","ODA Grants","Emergency Response",2007,3.486446,4.329315
"PRK","Australia","ODA Grants","Emergency Response",2008,3.1742109999999997,3.7575190000000003
"PRK","Australia","ODA Grants","Emergency Response",2009,0.585938,0.730535
"PRK","Australia","ODA Grants","Emergency Response",2011,6.706562,5.732527
"PRK","Australia","ODA Grants","Emergency Response",2012,2.070393,1.776246
"PRK","Australia","ODA Grants","Energy",1998,1.262325,2.872822
"PRK","Australia","ODA Grants","Energy",1999,1.293799,2.830489
"PRK","Australia","ODA Grants","Energy",2000,1.739357,4.067759
"PRK","Australia","ODA Grants","Energy",2001,1.033378,2.61825
"PRK","Australia","ODA Grants","Energy",2002,1.086189,2.542141
"PRK","Australia","ODA Grants","General Environment Protection",2000,0.004054,0.009482
"PRK","Australia","ODA Grants","Health",1998,0,0
"PRK","Australia","ODA Grants","Health",1999,0.029683,0.064939
"PRK","Australia","ODA Grants","Health",2000,0.143643,0.335932
"PRK","Australia","ODA Grants","Health",2004,0.367863,0.595909
"PRK","Australia","ODA Grants","Health",2005,0.380866,0.56956
"PRK","Australia","ODA Grants","Health",2006,0.025002,0.036026
"PRK","Australia","ODA Grants","Health",2008,0.247341,0.292794
"PRK","Australia","ODA Grants","Industry, Mining, Construction",2005,0,0
"PRK","Australia","ODA Grants","Other Multisector",2006,0,0
"PRK","Australia","ODA Grants","Other Multisector",2007,0.812871,1.009387
"PRK","Australia","ODA Grants","Other Multisector",2008,0.229074,0.27117
"PRK","Australia","ODA Grants","Other Multisector",2009,0.20823,0.259617
"PRK","Australia","ODA Grants","Other Multisector",2010,0.225219,0.226769
"PRK","Australia","ODA Grants","Other Multisector",2013,0.088677,0.08057600000000001
"PRK","Australia","ODA Grants","Other Multisector",2014,0.041397,0.040148
"PRK","Australia","ODA Grants","Population Policies/Programmes",2003,0,0
"PRK","Australia","ODA Grants","Reconstruction Relief & Rehabilitation",2006,0.753069,1.085116
"PRK","Australia","ODA Grants","Trade Policies & Regulations",1999,0.001936,0.004235
"PRK","Australia","ODA Grants","Trade Policies & Regulations",2000,0.024905999999999998,0.058246
