"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"SDN","Adaptation Fund","ODA Grants","Other Multisector",2022,0.925,0.969464
"SDN","Arab Fund (AFESD)","ODA Grants","Other Multisector",2018,0.009937,0.01087
"SDN","Australia","ODA Grants","Agriculture, Forestry, Fishing",2010,0.034507,0.034744
"SDN","Australia","ODA Grants","Agriculture, Forestry, Fishing",2015,0.058915,0.069041
"SDN","Australia","ODA Grants","Agriculture, Forestry, Fishing",2016,0.006541,0.007678
"SDN","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.015308,0.015178
"SDN","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,1.13e-4,1.13e-4
"SDN","Australia","ODA Grants","Banking & Financial Services",2010,0.003152,0.003174
"SDN","Australia","ODA Grants","Banking & Financial Services",2012,0.147728,0.12674
"SDN","Australia","ODA Grants","Banking & Financial Services",2021,0.001569,0.001555
"SDN","Australia","ODA Grants","Development Food Assistance",2010,0.010908,0.010983
"SDN","Australia","ODA Grants","Education",2010,0.009194,0.009258
"SDN","Australia","ODA Grants","Education",2021,0.018761,0.018602
"SDN","Australia","ODA Grants","Education",2023,0.034429999999999995,0.034429999999999995
"SDN","Australia","ODA Grants","General Environment Protection",2010,0.003097,0.003119
"SDN","Australia","ODA Grants","General Environment Protection",2012,0.29577,0.253749
"SDN","Australia","ODA Grants","General Environment Protection",2021,0.001406,0.001394
"SDN","Australia","ODA Grants","Government & Civil Society",2010,0.019435,0.019569
"SDN","Australia","ODA Grants","Government & Civil Society",2012,0.942194,0.808334
"SDN","Australia","ODA Grants","Government & Civil Society",2021,0.024255,0.024051
"SDN","Australia","ODA Grants","Government & Civil Society",2023,2.07e-4,2.07e-4
"SDN","Australia","ODA Grants","Health",2010,0.009129,0.009192
"SDN","Australia","ODA Grants","Health",2021,0.06812399999999999,0.067548
"SDN","Australia","ODA Grants","Health",2022,0.037358,0.037063
"SDN","Australia","ODA Grants","Health",2023,0.032433,0.032433
"SDN","Australia","ODA Grants","Industry, Mining, Construction",2010,0.0035429999999999997,0.003567
"SDN","Australia","ODA Grants","Other Multisector",2010,0.018962,0.019092
"SDN","Australia","ODA Grants","Other Multisector",2011,0.235158,0.20100400000000002
"SDN","Australia","ODA Grants","Other Multisector",2014,0.033372,0.032366
"SDN","Australia","ODA Grants","Other Multisector",2021,0.035808,0.035504
"SDN","Australia","ODA Grants","Other Multisector",2022,0.051776,0.051368
"SDN","Australia","ODA Grants","Other Multisector",2023,0.0021219999999999998,0.0021219999999999998
"SDN","Australia","ODA Grants","Other Social Infrastructure & Services",2010,0.007863,0.007918
"SDN","Australia","ODA Grants","Other Social Infrastructure & Services",2012,1.488883,1.2773530000000002
"SDN","Australia","ODA Grants","Other Social Infrastructure & Services",2021,0.011159,0.011064000000000001
"SDN","Australia","ODA Grants","Other Social Infrastructure & Services",2023,2.9e-4,2.9e-4
"SDN","Australia","ODA Grants","Population Policies/Programmes",2010,0.014088,0.014184
"SDN","Australia","ODA Grants","Tourism",2010,3.38e-4,3.4e-4
"SDN","Australia","ODA Grants","Unallocated / Unspecified",2010,0.00157,0.001581
"SDN","Australia","ODA Grants","Unallocated / Unspecified",2021,0.001545,0.001532
"SDN","Australia","ODA Grants","Water Supply & Sanitation",2010,0.013654,0.013748
"SDN","Australia","ODA Grants","Water Supply & Sanitation",2021,0.012941000000000001,0.012831
"SDN","Australia","ODA Grants","Water Supply & Sanitation",2022,0.027879,0.027659
"SDN","Australia","ODA Grants","Water Supply & Sanitation",2023,4.26e-4,4.26e-4
"SDN","Austria","ODA Grants","Energy",2010,0.055166,0.061513
"SDN","Austria","ODA Grants","Energy",2012,0.038897,0.043015
"SDN","Austria","ODA Grants","Energy",2019,0.005597,0.006314
"SDN","Belgium","ODA Grants","Emergency Response",2011,1.31412,1.3554
"SDN","Belgium","ODA Grants","Government & Civil Society",2008,0.205375,0.214098
"SDN","Belgium","ODA Loans","Communications",2015,0,0
