"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"SEN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2017,0.416,0.474144
"SEN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,0.41953,0.426806
"SEN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.48427000000000003,0.507548
"SEN","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2023,0.208,0.208
"SEN","Adaptation Fund","ODA Grants","General Environment Protection",2017,0.052,0.059268
"SEN","Adaptation Fund","ODA Grants","Industry, Mining, Construction",2017,0.052,0.059268
"SEN","Adaptation Fund","ODA Grants","Other Multisector",2021,0.005,0.005087
"SEN","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2010,8.619,9.409942
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2001,7.18539,11.448885
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2002,6.84509,10.556421
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2003,3.16806,4.347657
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2004,12.97294,16.482046
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2005,14.17025,17.50467
"SEN","African Development Bank","ODA Grants","Action Relating to Debt",2006,6.46783,7.737579
"SEN","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2012,0,0
"SEN","African Development Bank","ODA Grants","Government & Civil Society",2021,0.162371,0.165187
"SEN","African Development Bank","ODA Grants","Government & Civil Society",2022,0.162154,0.169949
"SEN","African Development Bank","ODA Grants","Industry, Mining, Construction",2013,0.039989,0.041626
"SEN","African Development Bank","ODA Grants","Industry, Mining, Construction",2014,0.021947,0.022845
"SEN","African Development Bank","ODA Grants","Other Social Infrastructure & Services",2023,0.024375,0.024375
"SEN","African Development Bank","ODA Grants","Unallocated / Unspecified",2023,0,0
"SEN","African Development Bank","ODA Grants","Water Supply & Sanitation",2012,0.019006,0.02005
"SEN","African Development Bank","ODA Grants","Water Supply & Sanitation",2013,0,0
"SEN","African Development Bank","ODA Grants","Water Supply & Sanitation",2014,0.03882,0.040408
"SEN","African Development Bank","ODA Grants","Water Supply & Sanitation",2016,0.03179,0.036996
"SEN","African Development Bank","ODA Grants","Water Supply & Sanitation",2017,0.03913,0.044599
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2001,0,0
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2002,0,0
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2003,0,0
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2019,0,0
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2020,4.431159,4.782627
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2021,13.076785,13.303584
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2022,11.252524,11.793421
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",2023,142.665644,142.665644
"SEN","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2021,0,0
