"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"SLB","Adaptation Fund","ODA Grants","Development Food Assistance",2011,5.112683,5.26731
"SLB","Adaptation Fund","ODA Grants","Development Food Assistance",2014,2.016306,2.0988
"SLB","Adaptation Fund","ODA Grants","Development Food Assistance",2016,0.420817,0.489732
"SLB","Adaptation Fund","ODA Grants","Disaster Prevention & Preparedness",2017,0.203437,0.231871
"SLB","Adaptation Fund","ODA Grants","Disaster Prevention & Preparedness",2018,0.203437,0.22254
"SLB","Adaptation Fund","ODA Grants","Other Multisector",2017,0.610311,0.695613
"SLB","Adaptation Fund","ODA Grants","Other Multisector",2018,0.610313,0.667621
"SLB","Adaptation Fund","ODA Grants","Other Multisector",2021,1.3888,1.412887
"SLB","Asian Development Bank","ODA Grants","Energy",2017,0.214005,0.243916
"SLB","Asian Development Bank","ODA Grants","Energy",2018,0.20498,0.22422799999999998
"SLB","Asian Development Bank","ODA Grants","Transport & Storage",2017,2.805404,3.197508
"SLB","Asian Development Bank","ODA Grants","Transport & Storage",2018,1.43486,1.569593
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",1998,6.28e-4,0.001429
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",1999,0.169065,0.369869
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2000,0.641761,1.500858
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2001,0.832903,2.110309
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2002,0.844512,1.976515
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2003,1.052066,2.003324
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2004,0.819372,1.327316
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2005,0.155393,0.23238
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2009,0.003551,0.004427
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2010,3.289147,3.311786
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2011,1.486797,1.27086
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2012,1.194554,1.024841
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2013,1.517995,1.3793170000000001
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2014,0.400922,0.388831
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2015,0.361725,0.423897
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2016,0.222999,0.26176
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2017,0.563262,0.619393
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2018,0.134024,0.147776
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2019,1.142692,1.310036
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2020,1.5711140000000001,1.797156
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,4.093367,4.058732
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,4.041177,4.009302
"SLB","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,3.8606320000000003,3.8606320000000003
"SLB","Australia","ODA Grants","Banking & Financial Services",2010,0.002114,0.002128
"SLB","Australia","ODA Grants","Banking & Financial Services",2012,1.132212,0.971355
"SLB","Australia","ODA Grants","Banking & Financial Services",2021,1.959921,1.9433349999999998
"SLB","Australia","ODA Grants","Banking & Financial Services",2022,1.066549,1.058138
"SLB","Australia","ODA Grants","Banking & Financial Services",2023,1.253532,1.253532
"SLB","Australia","ODA Grants","Business & Other Services",2017,2.33018,2.562394
