"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"TCA","Australia","ODA Grants","Other Social Infrastructure & Services",2005,0.002285,0.003417
"TCA","Australia","ODA Grants","Other Social Infrastructure & Services",2006,0,0
"TCA","Canada","ODA Grants","Health",2004,0.072247,0.108368
"TCA","Canada","ODA Grants","Health",2005,0.170834,0.231427
"TCA","Canada","ODA Grants","Industry, Mining, Construction",1994,0,0
"TCA","Canada","ODA Grants","Industry, Mining, Construction",1995,0,0
"TCA","Canada","ODA Grants","Industry, Mining, Construction",2000,0,0
"TCA","Canada","ODA Grants","Industry, Mining, Construction",2001,0,0
"TCA","Canada","ODA Grants","Industry, Mining, Construction",2002,0,0
"TCA","Canada","ODA Grants","Other Multisector",2001,0,0
"TCA","Canada","ODA Grants","Other Multisector",2002,0,0
"TCA","Canada","ODA Grants","Unallocated / Unspecified",2002,0,0
"TCA","EU Institutions","Equity Investment","Banking & Financial Services",2001,0,0
"TCA","EU Institutions","ODA Grants","Administrative Costs of Donors",2003,0.023206,0.03239
"TCA","EU Institutions","ODA Grants","Emergency Response",2007,0.547301,0.580928
"TCA","EU Institutions","ODA Grants","General Budget Support",2006,0,0
"TCA","EU Institutions","ODA Grants","General Budget Support",2007,11.6564,12.372597
"TCA","EU Institutions","ODA Grants","Other Multisector",1993,0,0
"TCA","EU Institutions","ODA Grants","Other Multisector",1994,0,0
"TCA","EU Institutions","ODA Grants","Other Multisector",1996,0.153592,0.216635
"TCA","EU Institutions","ODA Grants","Other Multisector",1997,0.099728,0.155317
"TCA","EU Institutions","ODA Grants","Other Multisector",1998,0.022369,0.034737
"TCA","EU Institutions","ODA Grants","Other Multisector",1999,0,0
"TCA","EU Institutions","ODA Grants","Other Multisector",2000,0.029490000000000002,0.054201
"TCA","EU Institutions","ODA Grants","Tourism",1994,0,0
"TCA","EU Institutions","ODA Grants","Tourism",1995,0,0
"TCA","EU Institutions","ODA Grants","Tourism",1996,0.062199,0.087728
"TCA","EU Institutions","ODA Grants","Unallocated / Unspecified",1998,0,0
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",1993,0,0
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",1995,0,0
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",1997,0.182457,0.284159
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",1998,1.073705,1.667366
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",1999,1.881726,3.033966
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",2000,0.505023,0.928195
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",2001,0.198818,0.366745
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",2003,0.048063,0.067082
"TCA","EU Institutions","ODA Grants","Water Supply & Sanitation",2006,0,0
"TCA","EU Institutions","ODA Loans","Unallocated / Unspecified",2005,1.457867,1.7805769999999999
"TCA","EU Institutions","ODA Loans","Unallocated / Unspecified",2006,0,0
"TCA","EU Institutions","ODA Loans","Unallocated / Unspecified",2007,0,0
"TCA","France","ODA Grants","Other Social Infrastructure & Services",1995,0.001964,0.00246
"TCA","UNDP","ODA Grants","Government & Civil Society",1999,0,0
"TCA","United Kingdom","ODA Grants","Action Relating to Debt",1998,0,0
"TCA","United Kingdom","ODA Grants","Action Relating to Debt",2006,0.02,0.020532
"TCA","United Kingdom","ODA Grants","Action Relating to Debt",2007,0.214976,0.198487
"TCA","United Kingdom","ODA Grants","Agriculture, Forestry, Fishing",1993,0,0
"TCA","United Kingdom","ODA Grants","Agriculture, Forestry, Fishing",1995,0,0
"TCA","United Kingdom","ODA Grants","Agriculture, Forestry, Fishing",1998,0.014911,0.020084
"TCA","United Kingdom","ODA Grants","Agriculture, Forestry, Fishing",2000,0,0
"TCA","United Kingdom","ODA Grants","Agriculture, Forestry, Fishing",2007,0.003527,0.003256
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",1993,0,0
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",1994,0,0
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",1996,0,0
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",1998,0.114314,0.153976
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",1999,0.137518,0.187097
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2000,0.105964,0.152371
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2001,0.33414900000000003,0.497483
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2002,0.288073,0.403167
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2003,0.215546,0.270715
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2004,0.238427,0.260106
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2005,0.081804,0.08739
"TCA","United Kingdom","ODA Grants","Banking & Financial Services",2006,0.021264,0.02183
"TCA","United Kingdom","ODA Grants","Business & Other Services",2000,0,0
"TCA","United Kingdom","ODA Grants","Business & Other Services",2001,0.211724,0.315215
"TCA","United Kingdom","ODA Grants","Business & Other Services",2003,0.026127,0.032814
"TCA","United Kingdom","ODA Grants","Communications",1997,0,0
"TCA","United Kingdom","ODA Grants","Communications",1998,0.410868,0.553422
"TCA","United Kingdom","ODA Grants","Communications",1999,0.061479,0.083644
"TCA","United Kingdom","ODA Grants","Communications",2000,0.015138,0.021767
"TCA","United Kingdom","ODA Grants","Education",1992,0,0
"TCA","United Kingdom","ODA Grants","Education",1993,0,0
"TCA","United Kingdom","ODA Grants","Education",1994,0,0
"TCA","United Kingdom","ODA Grants","Education",1995,0,0
"TCA","United Kingdom","ODA Grants","Education",1998,0,0
"TCA","United Kingdom","ODA Grants","Education",1999,0,0
"TCA","United Kingdom","ODA Grants","Education",2000,0.099909,0.143664
"TCA","United Kingdom","ODA Grants","Education",2001,1.460464,2.174343
"TCA","United Kingdom","ODA Grants","Education",2002,0.657164,0.919724
"TCA","United Kingdom","ODA Grants","Education",2003,0.052253,0.065628
"TCA","United Kingdom","ODA Grants","Education",2004,0,0
"TCA","United Kingdom","ODA Grants","Education",2005,0.259953,0.277706
"TCA","United Kingdom","ODA Grants","Emergency Response",1996,0,0
"TCA","United Kingdom","ODA Grants","Emergency Response",1997,0,0
"TCA","United Kingdom","ODA Grants","General Environment Protection",1998,0,0
"TCA","United Kingdom","ODA Grants","General Environment Protection",1999,0.025885,0.035219
"TCA","United Kingdom","ODA Grants","General Environment Protection",2000,0.399636,0.5746560000000001
"TCA","United Kingdom","ODA Grants","General Environment Protection",2001,0.446493,0.66474
"TCA","United Kingdom","ODA Grants","General Environment Protection",2002,0.48912200000000006,0.684543
"TCA","United Kingdom","ODA Grants","General Environment Protection",2003,0.135532,0.17022199999999998
"TCA","United Kingdom","ODA Grants","General Environment Protection",2004,0.212113,0.231398
"TCA","United Kingdom","ODA Grants","General Environment Protection",2005,0.303581,0.324314
"TCA","United Kingdom","ODA Grants","General Environment Protection",2006,0.017829,0.018303
"TCA","United Kingdom","ODA Grants","General Environment Protection",2007,0.13544900000000001,0.12506
"TCA","United Kingdom","ODA Grants","Government & Civil Society",1992,0,0
"TCA","United Kingdom","ODA Grants","Government & Civil Society",1994,0,0
"TCA","United Kingdom","ODA Grants","Government & Civil Society",1995,0,0
