"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"TCD","Adaptation Fund","ODA Grants","Other Multisector",2022,0,0
"TCD","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,0.004,0.004069
"TCD","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2014,0,0
"TCD","African Development Bank","ODA Grants","Health",2012,0,0
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2001,1.56,2.485635
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2002,3.54,5.459348
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2003,3.66,5.022767
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2004,3.69,4.688124
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2005,3.73,4.607711
"TCD","African Development Fund","ODA Grants","Action Relating to Debt",2006,0.35,0.418711
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2001,0.394505,0.6285879999999999
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2002,0.231545,0.357087
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2003,0.302618,0.415294
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2005,0,0
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2007,0.849695,0.9464520000000001
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2008,1.335649,1.421375
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2009,3.523945,3.8873640000000003
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2010,0.694609,0.758352
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2011,3.23405,3.33186
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2012,4.9462269999999995,5.217928
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2013,2.36515,2.4619410000000004
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2014,0.049233,0.051247
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2015,0.49965000000000004,0.575567
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2019,1.361419,1.514197
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2020,1.3303450000000001,1.435865
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2021,0,0
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"TCD","African Development Fund","ODA Grants","Agriculture, Forestry, Fishing",2023,3.28987,3.28987
"TCD","African Development Fund","ODA Grants","Banking & Financial Services",2001,0.054363,0.086619
"TCD","African Development Fund","ODA Grants","Banking & Financial Services",2009,12.287252,13.554418
"TCD","African Development Fund","ODA Grants","Development Food Assistance",2011,0,0
"TCD","African Development Fund","ODA Grants","Education",2003,0.118836,0.163083
"TCD","African Development Fund","ODA Grants","Education",2004,0.443853,0.563913
"TCD","African Development Fund","ODA Grants","Education",2005,0.358526,0.442891
"TCD","African Development Fund","ODA Grants","Education",2006,0.564319,0.675104
"TCD","African Development Fund","ODA Grants","Education",2007,0.89506,0.996983
"TCD","African Development Fund","ODA Grants","Education",2008,0.17597000000000002,0.18726500000000001
"TCD","African Development Fund","ODA Grants","Education",2009,0.332208,0.36646799999999996
"TCD","African Development Fund","ODA Grants","Education",2010,0.7210930000000001,0.787266
"TCD","African Development Fund","ODA Grants","Education",2011,0.678243,0.698756
"TCD","African Development Fund","ODA Grants","Education",2012,0.234343,0.247216
"TCD","African Development Fund","ODA Grants","Education",2018,0.159154,0.174099
"TCD","African Development Fund","ODA Grants","Education",2019,0.413415,0.459808
"TCD","African Development Fund","ODA Grants","Education",2020,0.435006,0.46951
"TCD","African Development Fund","ODA Grants","Education",2021,0.076454,0.07778
"TCD","African Development Fund","ODA Grants","Education",2022,0.162272,0.170072
"TCD","African Development Fund","ODA Grants","Education",2023,0.575669,0.575669
"TCD","African Development Fund","ODA Grants","Energy",2001,0.038833,0.061876
"TCD","African Development Fund","ODA Grants","Energy",2013,0,0
"TCD","African Development Fund","ODA Grants","Energy",2014,0.108097,0.112519
"TCD","African Development Fund","ODA Grants","Energy",2015,0.27845,0.320758
"TCD","African Development Fund","ODA Grants","Energy",2016,0.31403,0.365457
"TCD","African Development Fund","ODA Grants","Energy",2017,0.59732,0.680806
"TCD","African Development Fund","ODA Grants","Energy",2018,0.195568,0.213931
"TCD","African Development Fund","ODA Grants","Energy",2023,0.100524,0.100524
"TCD","African Development Fund","ODA Grants","General Budget Support",2005,0,0
"TCD","African Development Fund","ODA Grants","General Budget Support",2006,14.670121,17.550125
"TCD","African Development Fund","ODA Grants","General Budget Support",2015,18.674210000000002,21.511562
"TCD","African Development Fund","ODA Grants","General Budget Support",2016,37.76047,43.944268
"TCD","African Development Fund","ODA Grants","General Budget Support",2018,0.012853,0.01406
"TCD","African Development Fund","ODA Grants","General Environment Protection",2002,0.170991,0.2637
"TCD","African Development Fund","ODA Grants","General Environment Protection",2003,0.149807,0.205587
"TCD","African Development Fund","ODA Grants","General Environment Protection",2004,0.054424,0.069145
"TCD","African Development Fund","ODA Grants","General Environment Protection",2006,0.06203,0.074207
"TCD","African Development Fund","ODA Grants","General Environment Protection",2007,0.068177,0.075941
"TCD","African Development Fund","ODA Grants","General Environment Protection",2008,0.030741,0.032714
"TCD","African Development Fund","ODA Grants","General Environment Protection",2010,0.258115,0.281802
"TCD","African Development Fund","ODA Grants","General Environment Protection",2011,0.477583,0.492027
"TCD","African Development Fund","ODA Grants","General Environment Protection",2012,0.030855,0.03255
"TCD","African Development Fund","ODA Grants","General Environment Protection",2014,0.084975,0.088452
"TCD","African Development Fund","ODA Grants","General Environment Protection",2015,0,0
"TCD","African Development Fund","ODA Grants","General Environment Protection",2019,2.1756219999999997,2.4197689999999996
"TCD","African Development Fund","ODA Grants","General Environment Protection",2020,1.268944,1.369594
"TCD","African Development Fund","ODA Grants","General Environment Protection",2023,0.8791610000000001,0.8791610000000001
"TCD","African Development Fund","ODA Grants","Government & Civil Society",2004,0.334002,0.42434700000000003
"TCD","African Development Fund","ODA Grants","Government & Civil Society",2005,0.976048,1.205724
"TCD","African Development Fund","ODA Grants","Government & Civil Society",2006,0.9862299999999999,1.179845
"TCD","African Development Fund","ODA Grants","Government & Civil Society",2007,1.3478080000000001,1.501288
