"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"THA","Adaptation Fund","ODA Grants","Transport & Storage",2022,0,0
"THA","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,0.417345,0.424583
"THA","Arcus Foundation","Private Development Finance","General Environment Protection",2022,0.012214,0.012654
"THA","Arcus Foundation","Private Development Finance","Government & Civil Society",2015,0.0825,0.103658
"THA","Arcus Foundation","Private Development Finance","Government & Civil Society",2017,0.09225,0.112797
"THA","Arcus Foundation","Private Development Finance","Government & Civil Society",2018,0.036726,0.043901
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2013,0.075,0.078069
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2014,0.034669,0.036089
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2015,0.13943,0.160615
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2016,0.104809,0.121972
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2017,0.048719,0.055528
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2022,0,0
"THA","Asian Development Bank","ODA Grants","Banking & Financial Services",2023,0.152214,0.152214
"THA","Asian Development Bank","ODA Grants","Government & Civil Society",2014,0.003103,0.00323
"THA","Asian Development Bank","ODA Grants","Government & Civil Society",2015,0.05406,0.062274
"THA","Asian Development Bank","ODA Grants","Government & Civil Society",2016,0.001463,0.001702
"THA","Asian Development Bank","ODA Grants","Health",2014,0.2177,0.226607
"THA","Asian Development Bank","ODA Grants","Health",2015,0.18109,0.208605
"THA","Asian Development Bank","ODA Grants","Health",2016,0.417099,0.485405
"THA","Asian Development Bank","ODA Grants","Other Multisector",2011,0,0
"THA","Asian Development Bank","ODA Grants","Other Multisector",2012,3,3.164792
"THA","Asian Development Bank","ODA Grants","Other Multisector",2013,0.117,0.121788
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2013,0.14400000000000002,0.149893
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2014,0.181898,0.18934
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2017,0,0
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2018,0.14754,0.161394
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2022,0.009103,0.009541
"THA","Asian Development Bank","ODA Grants","Transport & Storage",2023,0.268733,0.268733
"THA","Asian Development Bank","ODA Grants","Unallocated / Unspecified",2013,0.03612,0.037598
"THA","Asian Development Bank","ODA Grants","Water Supply & Sanitation",2014,0.001551,0.001615
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",1996,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Agriculture, Forestry, Fishing",1999,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",1997,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2000,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2011,100,103.024385
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2012,200,210.986155
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2013,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2014,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2015,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2016,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2017,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2018,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2019,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2020,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2021,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2022,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2023,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Communications",1993,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Communications",1997,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Education",1997,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Education",1999,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",1992,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",1993,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",1994,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",1996,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2012,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2013,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2015,0,0
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2016,34.312708,39.931887
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2017,66.909983,76.26182
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2018,195.73006999999998,214.109045
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2019,111.92114600000001,124.480874
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2020,95.008643,102.544473
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2021,168.89847799999998,171.82779
"THA","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2022,18.875096000000003,19.782402
