"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"TKM","Adaptation Fund","ODA Grants","Other Multisector",2011,2.041405,2.103145
"TKM","Adaptation Fund","ODA Grants","Other Multisector",2016,0.667385,0.776678
"TKM","Asian Development Bank","ODA Grants","Banking & Financial Services",2014,0,0
"TKM","Asian Development Bank","ODA Grants","Banking & Financial Services",2020,0,0
"TKM","Asian Development Bank","ODA Grants","Banking & Financial Services",2021,0.038035,0.038695
"TKM","Asian Development Bank","ODA Grants","Banking & Financial Services",2022,0.152139,0.159452
"TKM","Asian Development Bank","ODA Grants","Energy",2016,0,0
"TKM","Asian Development Bank","ODA Grants","Energy",2017,0.016665,0.018994
"TKM","Asian Development Bank","ODA Grants","Energy",2018,0.14538,0.159031
"TKM","Asian Development Bank","ODA Grants","Energy",2019,0.086619,0.096339
"TKM","Asian Development Bank","ODA Grants","Energy",2020,1.01e-4,1.09e-4
"TKM","Asian Development Bank","ODA Grants","Government & Civil Society",2023,0,0
"TKM","Asian Development Bank","ODA Grants","Health",2020,0,0
"TKM","Asian Development Bank","ODA Grants","Health",2021,0.028945,0.029447
"TKM","Asian Development Bank","ODA Grants","Health",2022,0.061139,0.064078
"TKM","Asian Development Bank","ODA Grants","Health",2023,0.184535,0.184535
"TKM","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2016,0.016137,0.018779
"TKM","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2017,0.078152,0.089075
"TKM","Asian Development Bank","ODA Grants","Industry, Mining, Construction",2018,0.03723,0.040726
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2018,0,0
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2019,0.1279,0.142253
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2020,0.017394,0.018774
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2021,0.125322,0.127496
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2022,0.139021,0.145703
"TKM","Asian Development Bank","ODA Grants","Transport & Storage",2023,0.462955,0.462955
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2018,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2019,0.630899,0.701699
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2020,77.369642,83.506395
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2021,118.441895,120.496108
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2022,171.998607,180.266392
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Energy",2023,107.824642,107.824642
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2011,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2012,35.147496,37.078175
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2013,36.697,38.198787
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2014,16.694499,17.377526
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2015,6.31962,7.279821
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2016,21.313485,24.803862
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2017,0.100919,0.115024
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2018,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2019,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2020,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2021,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2022,0,0
"TKM","Asian Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2023,0,0
"TKM","Australia","ODA Grants","Emergency Response",2022,0.027742999999999997,0.027525
"TKM","Australia","ODA Grants","Government & Civil Society",2000,0.028381,0.066374
"TKM","Australia","ODA Grants","Government & Civil Society",2001,0.023768,0.06022
"TKM","Australia","ODA Grants","Government & Civil Society",2002,0.024982,0.058469
