"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"UGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2016,1.5,1.745646
"UGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2019,2.4,2.669327
"UGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2020,2.4,2.590362
"UGA","Adaptation Fund","ODA Grants","Agriculture, Forestry, Fishing",2022,0.226667,0.237562
"UGA","Adaptation Fund","ODA Grants","Other Multisector",2022,0.925,0.969464
"UGA","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2021,1.451,1.476166
"UGA","Adaptation Fund","ODA Grants","Water Supply & Sanitation",2022,0.350196,0.367029
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2010,0.042818,0.043113
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2011,0.277775,0.237432
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2012,0.553308,0.474698
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2015,0.166046,0.194585
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2016,0.018435,0.021639
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2020,1.079532,1.234851
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2021,0.530065,0.525579
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2022,0.8063710000000001,0.80001
"UGA","Australia","ODA Grants","Agriculture, Forestry, Fishing",2023,1.015865,1.015865
"UGA","Australia","ODA Grants","Banking & Financial Services",2010,0.001364,0.001373
"UGA","Australia","ODA Grants","Banking & Financial Services",2012,0.37416,0.321002
"UGA","Australia","ODA Grants","Banking & Financial Services",2021,0.237818,0.235806
"UGA","Australia","ODA Grants","Banking & Financial Services",2022,0.126739,0.125739
"UGA","Australia","ODA Grants","Banking & Financial Services",2023,0.048057,0.048057
"UGA","Australia","ODA Grants","Communications",2019,0.027917,0.032005
