"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"VEN","Australia","ODA Grants","Emergency Response",1999,0,0
"VEN","Australia","ODA Grants","Government & Civil Society",2019,0.013361,0.015318
"VEN","Australia","ODA Grants","Other Multisector",2000,0,0
"VEN","Australia","ODA Grants","Other Multisector",2011,0.087471,0.074767
"VEN","Australia","ODA Grants","Other Multisector",2012,0.195695,0.167892
"VEN","Australia","ODA Grants","Other Multisector",2013,0.18171099999999998,0.165113
"VEN","Australia","ODA Grants","Other Multisector",2014,0.090741,0.088004
"VEN","Australia","ODA Grants","Other Multisector",2015,0.13117399999999999,0.153721
"VEN","Australia","ODA Grants","Other Multisector",2016,0.079916,0.093805
"VEN","Australia","ODA Grants","Other Multisector",2017,0.045315,0.049829
"VEN","Australia","ODA Grants","Other Multisector",2018,0.031855,0.035124
"VEN","Australia","ODA Grants","Other Social Infrastructure & Services",2001,0.0093,0.023564
"VEN","Australia","ODA Grants","Unallocated / Unspecified",2000,0.026064999999999998,0.060955999999999996
"VEN","Australia","ODA Grants","Water Supply & Sanitation",2018,3.68e-4,4.06e-4
"VEN","Austria","ODA Grants","Administrative Costs of Donors",2018,0.095885,0.10408
"VEN","Austria","ODA Grants","Education",1996,0.355428,0.495371
"VEN","Austria","ODA Grants","Education",1997,0.19939,0.316475
"VEN","Austria","ODA Grants","Education",1998,0,0
"VEN","Austria","ODA Grants","Education",1999,0.12024900000000001,0.200626
"VEN","Austria","ODA Grants","Education",2000,0.095304,0.181348
"VEN","Austria","ODA Grants","Education",2001,0.056555999999999995,0.108621
"VEN","Austria","ODA Grants","Education",2002,0,0
"VEN","Austria","ODA Grants","Education",2003,0.09733399999999999,0.144728
"VEN","Austria","ODA Grants","Education",2004,0.12523199999999998,0.166554
"VEN","Austria","ODA Grants","Education",2005,0.13907599999999998,0.180325
"VEN","Austria","ODA Grants","Education",2006,0.12612,0.15870800000000002
"VEN","Austria","ODA Grants","Education",2007,0.126031,0.142226
"VEN","Austria","ODA Grants","Education",2008,0.122442,0.12871100000000002
"VEN","Austria","ODA Grants","Education",2009,0.183595,0.196494
"VEN","Austria","ODA Grants","Education",2010,0.20502800000000002,0.22861700000000001
"VEN","Austria","ODA Grants","Education",2011,0.28696499999999997,0.299323
"VEN","Austria","ODA Grants","Education",2012,0.289358,0.319987
"VEN","Austria","ODA Grants","Education",2013,0.260458,0.274203
"VEN","Austria","ODA Grants","Education",2014,0.288696,0.29826600000000003
"VEN","Austria","ODA Grants","Education",2015,0.286738,0.346545
"VEN","Austria","ODA Grants","Education",2016,0.28432,0.33859
"VEN","Austria","ODA Grants","Education",2017,0.307448,0.35567299999999996
"VEN","Austria","ODA Grants","Education",2018,0.324101,0.3518
"VEN","Austria","ODA Grants","Education",2019,0.326561,0.36835100000000004
"VEN","Austria","ODA Grants","Education",2020,0.367279,0.396694
"VEN","Austria","ODA Grants","Education",2021,0.356635,0.364283
"VEN","Austria","ODA Grants","Education",2022,0.34165999999999996,0.374611
"VEN","Austria","ODA Grants","Education",2023,0.33624299999999996,0.33624299999999996
"VEN","Austria","ODA Grants","Emergency Response",2003,0.019873,0.029551
"VEN","Austria","ODA Grants","Emergency Response",2019,1.0075,1.136432
"VEN","Austria","ODA Grants","Emergency Response",2020,1.139601,1.230872
"VEN","Austria","ODA Grants","Emergency Response",2021,1.247671,1.27443
"VEN","Austria","ODA Grants","Emergency Response",2023,0.041467,0.041467
"VEN","Austria","ODA Grants","General Environment Protection",2007,0.003149,0.003553
"VEN","Austria","ODA Grants","Government & Civil Society",2006,0.003514,0.004423
"VEN","Austria","ODA Grants","Government & Civil Society",2007,0.0023,0.002595
"VEN","Austria","ODA Grants","Government & Civil Society",2010,2.99e-4,3.34e-4
"VEN","Austria","ODA Grants","Other Multisector",2002,0.053718,0.096986
"VEN","Austria","ODA Grants","Other Multisector",2009,0.030905,0.033076
"VEN","Austria","ODA Grants","Other Multisector",2010,0.017426,0.019431
"VEN","Austria","ODA Grants","Other Multisector",2011,0.011133,0.011613
"VEN","Austria","ODA Grants","Other Multisector",2012,0.010283,0.011371
"VEN","Austria","ODA Grants","Other Multisector",2013,0.009294,0.009784
"VEN","Austria","ODA Grants","Other Multisector",2014,0.01287,0.013296
"VEN","Austria","ODA Grants","Other Multisector",2015,0.009983,0.012066
"VEN","Austria","ODA Grants","Unallocated / Unspecified",2002,0.017906,0.032329
"VEN","Austria","ODA Grants","Unallocated / Unspecified",2013,0.005961,0.006276
"VEN","Azerbaijan","ODA Grants","Health",2020,0.115,0.124121
"VEN","Belgium","ODA Grants","Administrative Costs of Donors",1999,0.017696,0.029726
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1994,0,0
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1995,0,0
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1999,0.025884,0.04348
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2000,0.023302,0.044361
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2001,0.007165,0.013763
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2003,0.12339900000000001,0.18150300000000003
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2004,0.136141,0.17868
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2005,0.10564299999999999,0.135772
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2006,0.14316600000000002,0.178155
"VEN","Belgium","ODA Grants","Agriculture, Forestry, Fishing",2007,0.14885900000000002,0.166629
"VEN","Belgium","ODA Grants","Business & Other Services",1999,0.012942,0.02174
"VEN","Belgium","ODA Grants","Business & Other Services",2000,0.009367,0.017831
"VEN","Belgium","ODA Grants","Communications",1995,0,0
"VEN","Belgium","ODA Grants","Communications",1999,0.018488,0.031057
"VEN","Belgium","ODA Grants","Communications",2000,0.017134,0.032618
"VEN","Belgium","ODA Grants","Communications",2001,0.004478,0.008602
"VEN","Belgium","ODA Grants","Education",1994,0,0
"VEN","Belgium","ODA Grants","Education",1995,0,0
"VEN","Belgium","ODA Grants","Education",1996,0,0
"VEN","Belgium","ODA Grants","Education",1998,0,0
"VEN","Belgium","ODA Grants","Education",1999,0.111723,0.187673
"VEN","Belgium","ODA Grants","Education",2003,0.006124,0.009007
"VEN","Belgium","ODA Grants","Education",2014,0.007032,0.007272
"VEN","Belgium","ODA Grants","Government & Civil Society",1994,0,0
"VEN","Belgium","ODA Grants","Government & Civil Society",1995,0,0
"VEN","Belgium","ODA Grants","Government & Civil Society",1996,0,0
"VEN","Belgium","ODA Grants","Government & Civil Society",1997,0,0
"VEN","Belgium","ODA Grants","Government & Civil Society",1998,0,0
"VEN","Belgium","ODA Grants","Government & Civil Society",1999,0.024035,0.040374
"VEN","Belgium","ODA Grants","Government & Civil Society",2012,0.009708,0.010598
"VEN","Belgium","ODA Grants","Government & Civil Society",2013,0.009988,0.010409
"VEN","Belgium","ODA Grants","Health",1994,0,0
"VEN","Belgium","ODA Grants","Health",1995,0,0
"VEN","Belgium","ODA Grants","Health",2003,0.002045,0.003008
"VEN","Belgium","ODA Grants","Industry, Mining, Construction",1994,0,0
"VEN","Belgium","ODA Grants","Industry, Mining, Construction",1998,0,0
