"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"YEM","Arab Fund (AFESD)","ODA Grants","Agriculture, Forestry, Fishing",2022,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Agriculture, Forestry, Fishing",2023,0.286346,0.286346
"YEM","Arab Fund (AFESD)","ODA Grants","Education",2019,0.263158,0.292689
"YEM","Arab Fund (AFESD)","ODA Grants","Education",2020,0.215545,0.232642
"YEM","Arab Fund (AFESD)","ODA Grants","Education",2023,0.829754,0.829754
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2008,0.080424,0.085586
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2009,0.19553299999999998,0.215698
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2010,0.096789,0.105671
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2011,0.036232,0.037328
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2012,0.035714,0.037676
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2014,0.130305,0.135637
"YEM","Arab Fund (AFESD)","ODA Grants","Energy",2015,1.135472,1.307995
"YEM","Arab Fund (AFESD)","ODA Grants","General Environment Protection",2012,0.442528,0.466836
"YEM","Arab Fund (AFESD)","ODA Grants","General Environment Protection",2013,0.796099,0.828679
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2008,0.070807,0.075352
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2010,0.026433,0.028858
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2011,0.029447,0.030338
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2012,0.025819,0.027238
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2013,0.023416,0.024374
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2014,0.030485,0.031732
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2018,0.400795,0.438429
"YEM","Arab Fund (AFESD)","ODA Grants","Government & Civil Society",2019,0.016447,0.018293
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2008,0.266786,0.283909
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2009,0.33881,0.373751
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2010,0.138653,0.151376
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2013,0.25330400000000003,0.263671
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2015,0.287301,0.330953
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2016,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2017,0.988957,1.127181
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2018,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2019,0.342106,0.380496
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2020,0.13716499999999998,0.148045
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2021,0.20885600000000001,0.212478
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2022,0.406452,0.425989
"YEM","Arab Fund (AFESD)","ODA Grants","Health",2023,0.445789,0.445789
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2015,0.321044,0.36982400000000004
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2018,0.993707,1.087015
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2019,0.953947,1.060999
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2020,1.01241,1.092712
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2021,0.938195,0.954467
"YEM","Arab Fund (AFESD)","ODA Grants","Other Multisector",2022,0.054839,0.057475
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2008,0.323214,0.343959
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2009,0.341506,0.376725
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2010,0.049466,0.054005
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2011,0.543478,0.559915
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2013,0.967889,1.007499
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2014,0.350877,0.365233
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2018,0.082809,0.090585
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2021,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Other Social Infrastructure & Services",2022,0.093548,0.098045
"YEM","Arab Fund (AFESD)","ODA Grants","Reconstruction Relief & Rehabilitation",2008,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Reconstruction Relief & Rehabilitation",2012,0,0
"YEM","Arab Fund (AFESD)","ODA Grants","Reconstruction Relief & Rehabilitation",2013,4.706787,4.899408
"YEM","Arab Fund (AFESD)","ODA Grants","Reconstruction Relief & Rehabilitation",2014,4.055671,4.221602
"YEM","Arab Fund (AFESD)","ODA Grants","Reconstruction Relief & Rehabilitation",2016,2.564781,2.9848
"YEM","Arab Fund (AFESD)","ODA Grants","Transport & Storage",2009,0.216277,0.238581
"YEM","Arab Fund (AFESD)","ODA Grants","Transport & Storage",2010,0.303864,0.331749
"YEM","Arab Fund (AFESD)","ODA Grants","Transport & Storage",2011,0.174963,0.180255
"YEM","Arab Fund (AFESD)","ODA Grants","Transport & Storage",2014,0.184194,0.19173
"YEM","Arab Fund (AFESD)","ODA Grants","Water Supply & Sanitation",2009,0.20167,0.222468
"YEM","Arab Fund (AFESD)","ODA Grants","Water Supply & Sanitation",2010,0.320698,0.350128
"YEM","Arab Fund (AFESD)","ODA Grants","Water Supply & Sanitation",2011,0.230339,0.237305
"YEM","Arab Fund (AFESD)","ODA Grants","Water Supply & Sanitation",2013,0.218989,0.227951
"YEM","Arab Fund (AFESD)","ODA Grants","Water Supply & Sanitation",2023,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2008,1.562615,1.6629090000000002
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2009,0.815553,0.89966
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2010,0.22886600000000001,0.249868
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2011,0.171545,0.176733
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2012,0.169819,0.179148
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2013,0.625537,0.651137
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2014,0.740351,0.770641
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2015,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Agriculture, Forestry, Fishing",2016,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2008,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2009,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2010,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2011,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2012,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2013,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2014,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Communications",2015,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Disaster Prevention & Preparedness",2008,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Disaster Prevention & Preparedness",2009,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Education",2008,13.950893,14.846308
"YEM","Arab Fund (AFESD)","ODA Loans","Education",2009,13.048017,14.393639
"YEM","Arab Fund (AFESD)","ODA Loans","Education",2013,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Education",2014,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Education",2015,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2008,23.395911,24.897539000000002
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2009,14.192758999999999,15.656436
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2010,13.812401000000001,15.079928
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2011,4.139450999999999,4.264643
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2012,23.897475,25.210181000000002
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2013,10.002619,10.411967
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2014,159.140351,165.651309
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2015,0.508644,0.585927
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2016,0.099282,0.115541
"YEM","Arab Fund (AFESD)","ODA Loans","Energy",2018,0.013249,0.014494
"YEM","Arab Fund (AFESD)","ODA Loans","Health",2013,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Health",2014,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2008,11.160714,11.877047
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2009,17.162292,18.932212999999997
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2010,2.502251,2.731876
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2011,6.138491,6.324142999999999
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2012,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2013,0.493982,0.514198
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2014,0.614035,0.639157
"YEM","Arab Fund (AFESD)","ODA Loans","Industry, Mining, Construction",2015,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2010,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2012,1.441557,1.520743
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2013,7.808454,8.128007
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2014,7.175439,7.46901
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2015,2.918883,3.362377
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2016,0.701592,0.816487
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2018,5.061279,5.53653
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2019,0.019737,0.021952
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2020,2.981712,3.2182120000000003
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2021,3.4743049999999998,3.534562
"YEM","Arab Fund (AFESD)","ODA Loans","Other Multisector",2022,0.63871,0.669412
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2008,17.671131,18.805324
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2009,9.568546,10.555335
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2010,5.235602,5.716059
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2011,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2012,5.357143,5.651415
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2013,18.916973,19.69113
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2014,47.189474,49.120151
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2015,19.790559000000002,22.797528
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2016,5.010425,5.830951
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2018,5.074528,5.551024
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2020,4.581973,4.945402
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2021,2.880889,2.930854
"YEM","Arab Fund (AFESD)","ODA Loans","Other Social Infrastructure & Services",2022,0.122581,0.128473
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2008,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2009,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2010,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2011,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2012,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2013,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Tourism",2014,0,0
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2008,44.517928,47.375237999999996
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2009,35.426159,39.079603999999996
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2010,30.2738,33.051947
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2011,32.629691,33.616538
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2012,16.640526,17.554602
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2013,28.748296,29.924791
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2014,38.40351,39.974723
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2015,21.921541,25.252292
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2016,9.120694,10.614332000000001
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2017,0.003297,0.003757
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2018,2.69957,2.953058
"YEM","Arab Fund (AFESD)","ODA Loans","Transport & Storage",2019,9.753289,10.847798000000001
