"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ZAF","Adaptation Fund","ODA Grants","Disaster Prevention & Preparedness",2014,0.190986,0.1988
"ZAF","Adaptation Fund","ODA Grants","Disaster Prevention & Preparedness",2019,2.224331,2.473944
"ZAF","Adaptation Fund","ODA Grants","Disaster Prevention & Preparedness",2020,1.743273,1.881545
"ZAF","Adaptation Fund","ODA Grants","General Environment Protection",2014,0.852328,0.8872
"ZAF","Adaptation Fund","ODA Grants","General Environment Protection",2018,0.24333,0.266179
"ZAF","Adaptation Fund","ODA Grants","General Environment Protection",2019,0.202664,0.225407
"ZAF","Adaptation Fund","ODA Grants","General Environment Protection",2020,0.135664,0.146425
"ZAF","Adaptation Fund","ODA Grants","Other Multisector",2021,0.939178,0.955467
"ZAF","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2021,0,0
"ZAF","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2022,0.053492,0.056064
"ZAF","African Development Bank","ODA Grants","Agriculture, Forestry, Fishing",2023,0.37926899999999997,0.37926899999999997
"ZAF","African Development Bank","ODA Grants","Banking & Financial Services",2020,0.184191,0.198801
"ZAF","African Development Bank","ODA Grants","Banking & Financial Services",2021,0.023725,0.024136
"ZAF","African Development Bank","ODA Grants","Communications",2014,0.214152,0.222914
"ZAF","African Development Bank","ODA Grants","Communications",2015,0.54989,0.63344
"ZAF","African Development Bank","ODA Grants","Communications",2016,0.31086,0.361768
"ZAF","African Development Bank","ODA Grants","Education",2016,0.12225,0.14227
"ZAF","African Development Bank","ODA Grants","Education",2017,0.09596,0.109372
"ZAF","African Development Bank","ODA Grants","Energy",2017,0.15469,0.176311
"ZAF","African Development Bank","ODA Grants","Government & Civil Society",2018,0.79605,0.870798
"ZAF","African Development Bank","ODA Grants","Other Multisector",2015,0,0
"ZAF","African Development Bank","ODA Grants","Other Multisector",2016,0.08131,0.094626
"ZAF","African Development Bank","ODA Grants","Other Multisector",2017,0.10743,0.122445
"ZAF","African Development Bank","ODA Grants","Other Multisector",2018,0.556641,0.608909
"ZAF","African Development Bank","ODA Grants","Other Multisector",2019,0.28180500000000003,0.313429
"ZAF","African Development Bank","ODA Grants","Other Social Infrastructure & Services",2011,0,0
"ZAF","African Development Bank","ODA Grants","Other Social Infrastructure & Services",2014,0.578234,0.601891
"ZAF","African Development Bank","ODA Grants","Other Social Infrastructure & Services",2015,0.15287,0.176097
"ZAF","African Development Bank","ODA Grants","Trade Policies & Regulations",2013,0,0
"ZAF","African Development Bank","ODA Grants","Trade Policies & Regulations",2014,0.269923,0.280966
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2012,0.010777,0.011369
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2014,0,0
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2015,0.04221,0.048623
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2016,0.02505,0.029152
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2018,0.125079,0.136824
"ZAF","African Development Bank","ODA Grants","Water Supply & Sanitation",2020,0.009981,0.010773
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",1998,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2002,1.849865,2.852841
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2003,72.9414,100.100448
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2004,41.608081,52.862829000000005
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2005,78.17794,96.574094
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2009,289.253536,319.083807
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2010,39.98885,43.658518
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2011,157.509737,162.273438
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2012,188.721682,199.08831
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2013,206.28696,214.729043
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2014,93.019081,96.824799
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2015,37.52408,43.225474
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2016,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2017,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2018,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2019,76.033179,84.56558100000001
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2020,104.19728,112.461927
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2021,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2022,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Banking & Financial Services",2023,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2009,510.140367,562.750356
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2010,541.469685,591.1588830000001
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2011,282.16983200000004,290.703734
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2012,918.370426,968.817223
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2013,185.1495,192.72655400000002
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2014,126.251685,131.417059
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2015,125.90468,145.034588
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2016,91.30967,106.262886
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2017,549.6040399999999,626.420787
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2018,57.543737,62.947072
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2019,49.127168,54.640192
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2020,3.951622,4.265054
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2021,66.88953599999999,68.049642
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2022,50.153956,52.564801
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Energy",2023,27.641697,27.641697
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","General Budget Support",2021,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","General Budget Support",2022,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","General Budget Support",2023,299.340284,299.340284
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2014,91.791986,95.547499
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2015,54.74078,63.058073
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2016,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Industry, Mining, Construction",2017,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Other Multisector",1997,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Other Multisector",2020,299.250486,322.98623
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2011,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2012,128.83891,135.916131
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2013,189.94115,197.714297
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2014,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2015,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2016,209.32239,243.601816
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2017,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2018,36.708621,40.155546
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2019,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2020,34.462935,37.196443
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2021,31.400097,31.944689
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2022,28.353504,29.716426
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Transport & Storage",2023,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",1999,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2000,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2001,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2002,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2003,0,0
"ZAF","African Development Bank","Other Official Flows (non Export Credit)","Unallocated / Unspecified",2005,0,0
